FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
83042.js,0,1.5,0,,,
83152.js,0,1.5,0,,,
83154.js,0,1.5,0,,,
83197.js,0,1.5,0,,,
83287.js,0,1.5,0,,,
83466.js,0,1.5,0,,,
83510.js,0,1.5,0,,,
83524.js,0,1.5,0,,,
83553.js,0,1.5,0,,,
83582.js,0,1.5,0,,,
83602.js,0,1.5,0,,,
83628.js,0,1.5,0,,,
83697.js,0,1.5,0,,,
83724.js,0,1.5,0,,,
83869.js,0,0.272727273,0,,,
83881.js,0,0.6,0,,,
84075.js,0,1,0,,,
84651.js,0,3,0,,,
84997.js,0,0.75,0,,,
85263.js,0,1.5,0,,,
85565.js,0,0.428571429,0,,,
85601.js,0,0.5,0,,,
85630.js,0,1.5,0,,,
85675.js,0,1.5,0,,,
85769.js,0,1,0,,,
85776.js,0,1,0,,,
86050.js,0,0.6,0,,,
86052.js,0,1,0,,,
86060.js,0,0.333333333,0,,,
86065.js,0,0.6,0,,,
86142.js,0,0.333333333,0,,,
86243.js,0,0.25,0,,,
86282.js,0,0.428571429,0,,,
86298.js,0,1,0,,,
86313.js,0,0.230769231,0,,,
86374.js,0,1.5,0,,,
86416.js,0,1,0,,,
86436.js,0,1.5,0,,,
86441.js,0,1.5,0,,,
86484.js,0,1,0,,,
86507.js,0,1.5,0,,,
86511.js,0,1,0,,,
86550.js,0,0.375,0,,,
86715.js,0,1.5,0,,,
86735.js,0,0.75,0,,,
86737.js,0,1.5,0,,,
86832.js,0,0.375,0,,,
86969.js,0,0.5,0,,,
87389.js,0,3,0,,,
87524.js,0,0.5,0,,,
87741.js,0,1.5,0,,,
87950.js,0,1.5,0,,,
88276.js,0,1.5,0,,,
88338.js,0,1,0,,,
88368.js,0,0.272727273,0,,,
88546.js,0,3,0,,,
88669.js,0,1,0,,,
8919.js,0,1.5,0,,,
89559.js,0,3,0,,,
90125.js,0,3,0,,,
90423.js,0,1.5,0,,,
90957.js,0,0.6,0,,,
90997.js,0,1.5,0,,,
91037.js,0,0.3,0,,,
91446.js,0,1,0,,,
91677.js,0,0.6,0,,,
92320.js,0,1,0,,,
94154.js,0,1.5,0,,,
94320.js,0,3,0,,,
94926.js,0,0.6,0,,,
94937.js,0,0.428571429,0,,,
95188.js,0,3,0,,,
95192.js,0,3,0,,,
95281.js,0,3,0,,,
95304.js,0,3,0,,,
95511.js,0,0.176470588,0,,,
95523.js,0,0.157894737,0,,,
95572.js,0,3,0,,,
95694.js,0,3,0,,,
95721.js,0,3,0,,,
95745.js,0,3,0,,,
9587.js,0,0.75,0,,,
95998.js,0,0.333333333,0,,,
96010.js,0,0.5,0,,,
96123.js,0,0.214285714,0,,,
9627.js,0,1.5,0,,,
96273.js,0,0.428571429,0,,,
96286.js,0,0.6,0,,,
9633.js,0,3,0,,,
96349.js,0,0.75,0,,,
96412.js,0,0.5,0,,,
96460.js,0,0.6,0,,,
97015.js,0,1.5,0,,,
97018.js,0,0.230769231,0,,,
97023.js,0,0.428571429,0,,,
97154.js,0,1.5,0,,,
97865.js,0,0.375,0,,,
97887.js,0,0.428571429,0,,,
97965.js,0,0.75,0,,,
97966.js,0,0.333333333,0,,,
97999.js,0,0.75,0,,,
9814.js,0,3,0,,,
98573.js,0,0.375,0,,,
98605.js,0,0.428571429,0,,,
98660.js,0,0.5,0,,,
98893.js,0,0.5,0,,,
98898.js,0,0.375,0,,,
99092.js,0,0.75,0,,,
99152.js,0,0.6,0,,,
99502.js,0,1.5,0,,,
9958.js,0,3,0,,,
