FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
59012.js,0.913043478,0.139534884,0.162162162,0.181818182,,,
5905.js,0.441176471,0.056179775,0.064935065,0.090909091,,,
59075.js,0.6,0.222222222,0.24,0.45,,,
59093.js,0.565217391,0.1,0.148148148,0.166666667,,,
59099.js,0.84375,0.239130435,0.275,0.333333333,,,
59106.js,0.75,0.201438849,0.210526316,0.245614035,,,
59117.js,0.8,0.2109375,0.234782609,0.27,,,
59156.js,0.851851852,0.238095238,0.277777778,0.357142857,,,
59164.js,0.787878788,0.140350877,0.156862745,0.2,,,
59167.js,0.741176471,0.172661871,0.180451128,0.222222222,,,
59261.js,0.777777778,0.28,0.29787234,0.304347826,,,
59294.js,0.857142857,0.158730159,0.2,0.212765957,,,
59296.js,0.833333333,0.116883117,0.126760563,0.163636364,,,
59309.js,0.8,0.282051282,0.333333333,0.379310345,,,
59540.js,0.6,0.217391304,0.5,0.5,,,
59730.js,1,0.279069767,0.387096774,0.466666667,,,
59875.js,0.272727273,0.08,0,0,,,
6010.js,0.3125,0.03030303,0.047619048,0.052631579,,,
6014.js,0.701298701,0.037914692,0.040201005,0.054794521,,,
60275.js,0.714285714,0.1,0.285714286,0.166666667,,,
60326.js,0.5,0.105263158,0,0,,,
60393.js,1,0.217391304,0.5,0.277777778,,,
60544.js,0.576923077,0.134328358,0.163636364,0.264705882,,,
60633.js,0.740740741,0.151898734,0.164383562,0.266666667,,,
60774.js,0.625,0.285714286,0.32,0.326530612,,,
60820.js,0.714285714,0.166666667,0.294117647,0.3125,,,
60881.js,0.648648649,0.179104478,0.196721311,0.25,,,
60966.js,1,0.52173913,0.6,0.727272727,,,
61006.js,0.818181818,0.23255814,0.322580645,0.416666667,,,
61022.js,0.740740741,0.31372549,0.41025641,0.516129032,,,
61136.js,0,0,0,0,,,
61201.js,0.652173913,0.101694915,0.113207547,0.136363636,,,
61344.js,1,1,1,1,,,
61443.js,0.8,0.25,0.333333333,0.333333333,,,
61603.js,0.875,0.3,0.5,0.5,,,
6162.js,0.435897436,0.021052632,0.024096386,0.035087719,,,
61642.js,1,0.176470588,0.75,0.75,,,
61708.js,0.666666667,0.545454545,0.25,0.25,,,
61733.js,1,0.133333333,1,1,,,
61748.js,0.666666667,0.130434783,0,0.428571429,,,
6175.js,0.847222222,0.034722222,0,0,,,
61757.js,1,0.142857143,0.375,0.2,,,
61844.js,1,0.192307692,0.357142857,0,,,
61902.js,1,0.15,0.214285714,0.428571429,,,
61980.js,1,0.217948718,0.236111111,0.386363636,,,
61999.js,0.941176471,0.25,0.4,0.307692308,,,
62048.js,1,0.238095238,0.333333333,0.333333333,,,
62225.js,0.307692308,0.102040816,0.135135135,0.227272727,,,
62277.js,0.333333333,0.037974684,0.044776119,0.09375,,,
6233.js,0.15,0.018181818,0.023809524,0.04,,,
62368.js,1,1,1,1,,,
62461.js,1,0.157894737,0.2,0.2,,,
62479.js,0.894736842,0.285714286,0.333333333,0.428571429,,,
62696.js,1,0.204081633,0.243243243,0.529411765,,,
62703.js,0.65,0.239130435,0.275,0.35483871,,,
62758.js,0.818181818,0.166666667,0.25,0.260869565,,,
6279.js,0.027027027,0.02,0.026315789,0.2,,,
62860.js,0.555555556,0.178571429,0.23255814,0.3125,,,
62914.js,0.685714286,0.161616162,0.166666667,0.27826087,,,
62961.js,0.378378378,0.094017094,0.105769231,0.134146341,,,
62996.js,0.585106383,0.127819549,0.134387352,0.234482759,,,
63048.js,0.5,0.046875,0.222222222,0.222222222,,,
63067.js,1,0.063157895,0.06741573,0.193548387,,,
63121.js,0.933333333,0.094736842,0.101694915,0.176470588,,,
63155.js,1,0.230769231,0.3,0.3,,,
63163.js,1,0.125,0.666666667,0.666666667,,,
63189.js,0.5,0.001277139,0.001282051,0.5,,,
6329.js,0.214285714,0.025,0.035714286,0.055555556,,,
63301.js,0.4375,0.06779661,0.085106383,0.210526316,,,
63316.js,0.363636364,0.137931034,0.235294118,0.2,,,
634.js,0.5,0.028571429,0.043478261,0.1,,,
63436.js,1,0.225806452,0.28,0.4375,,,
63481.js,1,0.166666667,0.6,0,,,
63520.js,0.360655738,0.107266436,0.111913357,0.236641221,,,
63540.js,0.907216495,0.198380567,0.203319502,0.256544503,,,
63628.js,0.72,0.224489796,0.297297297,0.282051282,,,
63663.js,0.423076923,0.154471545,0.171171171,0.59375,,,
63674.js,0.593406593,0.082719083,0.083127572,0.196498054,,,
63698.js,0.941176471,0.149253731,0.163934426,0.384615385,,,
6370.js,0.181818182,0.03030303,0.047619048,0.058823529,,,
63735.js,0.571428571,0.096774194,0.166666667,0.166666667,,,
63757.js,1,0.264705882,0.321428571,0.321428571,,,
63886.js,1,0.15,0.428571429,0.428571429,,,
63991.js,0.8,0.171428571,0.206896552,0.285714286,,,
64206.js,0.25,0.068965517,0,0.25,,,
6422.js,0.181818182,0.03125,0.05,0.066666667,,,
64381.js,0.5,0.086956522,0.2,0.2,,,
64405.js,1,1,0,0,,,
64486.js,0.333333333,0.135135135,0.142857143,0.217391304,,,
64731.js,0.368421053,0.157894737,0.24,0.206896552,,,
6476.js,0.357142857,0.025974026,0.030769231,0.037037037,,,
64890.js,0.571428571,0.152542373,0.166666667,0.191489362,,,
64988.js,0.8,0.261904762,0.366666667,0.47826087,,,
6500.js,0.594827586,0.013188518,0.013312451,0,,,
65036.js,0.730769231,0.311111111,0.358974359,0.388888889,,,
65052.js,0.692307692,0.152542373,0.169811321,0.219512195,,,
65083.js,0.730769231,0.157894737,0.2,0.236842105,,,
65192.js,0.722222222,0.142857143,0.166666667,0.272727273,,,
65219.js,1,0.325,0.6,0.52,,,
65234.js,0.722222222,0.162790698,0.189189189,0.24137931,,,
65267.js,0.722222222,0.155555556,0.179487179,0.24137931,,,
65290.js,0.833333333,0.25,0.318181818,0.4375,,,
65321.js,0.722222222,0.139534884,0.162162162,0.206896552,,,
65545.js,0.657894737,0.048076923,0.054945055,0.056818182,,,
6566.js,0.595041322,0.036231884,0.037878788,0.053763441,,,
65663.js,0.705521472,0.098191214,0.099737533,0.122186495,,,
65828.js,0.579881657,0.024725275,0.025104603,0.046035806,,,
6586.js,0.637254902,0.047619048,0.05,0.070588235,,,
65949.js,0.894736842,0.23255814,0.27027027,0.3125,,,
66144.js,0.619047619,0.044776119,0.046875,0.089552239,,,
66199.js,0.75,0.052083333,0.060240964,0.1,,,
66225.js,0.552631579,0.08496732,0.088435374,0.136842105,,,
66260.js,0.555555556,0.087649402,0.089795918,0.120218579,,,
66323.js,0.565217391,0.113300493,0.116751269,0.15862069,,,
66363.js,0.48,0.092783505,0.107142857,0.121621622,,,
66365.js,0.652173913,0.027491409,0.028070175,0.074074074,,,
66377.js,0.75,0.161290323,0.2,0.263157895,,,
66394.js,0.857142857,0.176470588,0.285714286,0.260869565,,,
66399.js,0.488372093,0.105263158,0.086956522,0.153846154,,,
66479.js,0.336283186,0.00931677,0.009493671,0.026315789,,,
66502.js,0.388297872,0.013513514,0.013671875,0.035,,,
66894.js,0.7,0.117647059,0.19047619,0.266666667,,,
67717.js,0.8,0.083333333,0.166666667,0.166666667,,,
67724.js,0.666666667,0.04,0.054054054,0.1,,,
67737.js,0.705882353,0.092307692,0.115384615,0.230769231,,,
67894.js,0.666666667,0.130434783,0.176470588,0.214285714,,,
67918.js,0.666666667,0.130434783,0.176470588,0.428571429,,,
68040.js,0.75,0.076923077,0.115384615,0.2,,,
6806.js,0.875,0.290322581,0.36,0.375,,,
68139.js,0.5,0.103448276,0.176470588,0.25,,,
68297.js,0.666666667,0.107142857,0.2,0.333333333,,,
68647.js,0.5,0.032258065,0.034682081,0.06741573,,,
68706.js,0.777777778,0.044444444,0.060606061,0.1,,,
68856.js,1,0.2,0,0.266666667,,,
69433.js,0.428571429,0.043478261,0.1,0.111111111,,,
69578.js,0.666666667,0.111111111,0.15625,0.208333333,,,
69705.js,0.428571429,0.045454545,0.1,0.111111111,,,
69826.js,0.794871795,0.089552239,0.109090909,0.12244898,,,
70158.js,1,0.137931034,0.25,0.363636364,,,
70346.js,0.866666667,0.175,0.25,0.368421053,,,
70353.js,1,0.0625,0.333333333,0.333333333,,,
70745.js,1,0.066666667,0.5,1,,,
70748.js,0.538461538,0.129032258,0.222222222,0.266666667,,,
7091.js,0.558718861,0.027455121,0,0.042414356,,,
71056.js,1,0.066666667,0.5,0.5,,,
7124.js,0.657142857,0.213114754,0.236363636,0.25,,,
71310.js,0.714285714,0.041666667,0.083333333,0.111111111,,,
71371.js,1,0.15,0.428571429,0.428571429,,,
7156.js,0.272727273,0.066666667,0.117647059,0.166666667,,,
7167.js,0.461538462,0.075471698,0.1,0.148148148,,,
71716.js,1,0.025072324,0.025218235,0.052525253,,,
71739.js,0.75,0.115384615,0.230769231,0.272727273,,,
