FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
70346.js,0.866666667,0.107692308,0.466666667,,,
70353.js,1,0.020833333,0.5,,,
70745.js,1,0.021276596,1,,,
70748.js,0.538461538,0.06779661,0.285714286,,,
71056.js,1,0.021276596,1,,,
71310.js,0.714285714,0.017857143,0.1,,,
71371.js,1,0.057692308,0.5,,,
7156.js,0.272727273,0.033898305,0.2,,,
71716.js,1,0.022707424,0.070652174,,,
71739.js,0.75,0.054545455,0.333333333,,,
72068.js,0.666666667,0.020408163,0.25,,,
72137.js,0.666666667,0.128834356,0.223404255,,,
72470.js,0.638297872,0.075630252,0.147540984,,,
72841.js,0.6,0.064102564,0.208333333,,,
72949.js,0.733333333,0.015625,0.055555556,,,
72989.js,0.466666667,0.015625,0.055555556,,,
73243.js,0.909090909,0.057471264,0.185185185,,,
7325.js,0.769230769,0.171428571,0.5,,,
73442.js,0.625,0.052631579,0.16,,,
73506.js,0.724137931,0.046511628,0.121212121,,,
738.js,0.689655172,0.116883117,0.28125,,,
74363.js,0.823529412,0.117647059,0.421052632,,,
7745.js,0.88,0.142857143,0.384615385,,,
79736.js,0.666666667,0.035087719,0.166666667,,,
79783.js,0.759259259,0.118644068,0.24137931,,,
79806.js,0.675,0.13592233,0.285714286,,,
79827.js,1,0.118644068,0.636363636,,,
79935.js,0.853658537,0.169642857,0.365384615,,,
80024.js,0.333333333,0.035087719,0.2,,,
80121.js,0.705882353,0.078125,0.263157895,,,
80761.js,0.777777778,0.083333333,0.5,,,
81210.js,0.777777778,0.047619048,0.166666667,,,
81329.js,0.820512821,0.166666667,0.357142857,,,
81381.js,0.837837838,0.16,0.340425532,,,
81439.js,0.62962963,0.115384615,0.321428571,,,
81520.js,0.807692308,0.084337349,0.269230769,,,
81524.js,0.94047619,0.042328042,0.095238095,,,
81531.js,0.824561404,0.074074074,0.13559322,,,
81582.js,0.84375,0.093023256,0.228571429,,,
82121.js,0.75,0.11627907,0.263157895,,,
82367.js,0.9,0.12,0.409090909,,,
