FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
26383.js,-1.0,-1.0,-1.0,-1.0
26398.js,-1.0,-1.0,-1.0,-1.0
26541.js,-1.0,-1.0,-1.0,-1.0
2656.js,0.35892848432904445,0.3272295758553762,0.5242965552319167,0.6351073488299558
27178.js,-1.0,-1.0,-1.0,-1.0
27182.js,-1.0,-1.0,-1.0,-1.0
27247.js,-1.0,-1.0,-1.0,-1.0
27258.js,-1.0,-1.0,-1.0,-1.0
27353.js,-1.0,-1.0,-1.0,-1.0
27441.js,-1.0,-1.0,-1.0,-1.0
27443.js,-1.0,-1.0,-1.0,-1.0
28688.js,0.49924726537690073,0.4496445542360021,0.542282389159539,0.7194422834315752
28808.js,0.49343059383913107,0.4385587595948434,0.5404595860553039,0.7107214486154393
29258.js,0.5052746136433719,0.4329717956806225,0.5810103308397406,0.6352162959701053
29491.js,0.65625,0.5477895125858748,0.5804433138326061,0.7360840388666621
29533.js,0.5254938542453881,0.45873490213598356,0.5885574975382131,0.6576267002770807
29651.js,0.49631336769748996,0.4262794022032839,0.5265098886067064,0.6352162959701053
29913.js,-1.0,-1.0,-1.0,-1.0
300.js,-1.0,-1.0,-1.0,-1.0
30403.js,-1.0,-1.0,-1.0,-1.0
3062.js,0.27888667551135854,0.26326209505561055,0.29277002188455997,0.3535533905932738
30876.js,-1.0,-1.0,-1.0,-1.0
30894.js,-1.0,-1.0,-1.0,-1.0
320.js,-1.0,-1.0,-1.0,-1.0
32279.js,-1.0,-1.0,-1.0,-1.0
32369.js,-1.0,-1.0,-1.0,-1.0
32556.js,-1.0,-1.0,-1.0,-1.0
32745.js,-1.0,-1.0,-1.0,-1.0
32843.js,-1.0,-1.0,-1.0,-1.0
32846.js,-1.0,-1.0,-1.0,-1.0
33031.js,-1.0,-1.0,-1.0,-1.0
3354.js,0.238667185252719,0.20652851724645427,0.8040302522073697,0.647150228929434
337.js,-1.0,-1.0,-1.0,-1.0
34209.js,-1.0,-1.0,-1.0,-1.0
34522.js,-1.0,-1.0,-1.0,-1.0
34526.js,-1.0,-1.0,-1.0,-1.0
34553.js,-1.0,-1.0,-1.0,-1.0
34631.js,-1.0,-1.0,-1.0,-1.0
34651.js,-1.0,-1.0,-1.0,-1.0
34903.js,-1.0,-1.0,-1.0,-1.0
34947.js,-1.0,-1.0,-1.0,-1.0
35829.js,-1.0,-1.0,-1.0,-1.0
36516.js,-1.0,-1.0,-1.0,-1.0
3659.js,0.20115274729832736,0.18802535827258873,0.7559289460184544,0.7559289460184544
3718.js,0.35729480050524814,0.3285021599088021,0.26967994498529685,0.296683051981965
37277.js,-1.0,-1.0,-1.0,-1.0
37699.js,-1.0,-1.0,-1.0,-1.0
38411.js,-1.0,-1.0,-1.0,-1.0
38607.js,-1.0,-1.0,-1.0,-1.0
38617.js,-1.0,-1.0,-1.0,-1.0
38815.js,0.4814946913935923,0.44811774319169484,0.5536205293892904,0.6352162959701053
38970.js,0.5042548858357878,0.4527455879086606,0.5404595860553039,0.7284922276531108
39287.js,0.651678382385265,0.5628590807898424,0.5993109149214744,0.7259099126834695
4041.js,0.5687268355786063,0.5321322993768163,0.568288346140775,0.633105310033134
40486.js,0.5012323517972443,0.4385587595948434,0.5248410733513448,0.6464599351554542
4075.js,0.6155565806605146,0.5361154994073273,0.546323728109192,0.6306409483143167
4089.js,0.23145502494313785,0.228747855498907,0.8888888888888888,0.6885303726590963
41351.js,0.4887356193828627,0.44071032815756844,0.5785005552584888,0.6583225748013584
4139.js,0.7287096923661733,0.6125200078021524,0.6261503195752195,0.7474671026905699
4165.js,0.5196406296152579,0.49823207893519394,0.5373940792297405,0.5668640822876476
41759.js,0.4953468363660058,0.4567136356244625,0.5940683731875563,0.6464599351554542
42622.js,0.5115771579541613,0.4643985104794606,0.5490953875836762,0.6576267002770807
42722.js,0.49924726537690073,0.43998962394980895,0.5967872357821932,0.6407641418804345
42892.js,0.48689480071615676,0.4519643179772631,0.5404595860553039,0.6464599351554542
4307.js,0.5259547057403532,0.4472135954999579,0.5682229830714048,0.6935498903335502
43149.js,0.6430572539051573,0.5348275467760657,0.5696588727310389,0.7211680340484687
43898.js,0.4771292822271742,0.4519643179772631,0.5536205293892904,0.6352162959701053
