FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
4764.js,0,0.642857143,0.785714286,0.785714286,,,
4861.js,0,0.375,0,0,,,
48748.js,0,0.142857143,0.571428571,0.571428571,,,
48769.js,0,0.166666667,0.333333333,0.333333333,,,
4945.js,0,1.333333333,0.333333333,0.333333333,,,
49662.js,0,3,0,0,,,
49663.js,0,3,0,0,,,
49711.js,0,3,0,0,,,
49847.js,0,0.25,0.625,0.625,,,
4998.js,0,2,0.5,0,,,
50055.js,0,2,0,0,,,
50084.js,0,2,0,0,,,
50130.js,0,2,0,0,,,
50145.js,0,2,0,0,,,
50198.js,0,2,0,0,,,
50341.js,0.5,1.5,1,0,,,
50345.js,0.5,1.5,1,1,,,
50370.js,0.5,1.5,0,0,,,
50382.js,0.5,1.5,0,1,,,
50402.js,0,2,0,0,,,
50435.js,0,2,0,0,,,
50441.js,0,2,0,0,,,
50453.js,0,2,0,0,,,
50524.js,0,3,0,0,,,
50529.js,0,3,0,0,,,
50552.js,0,3,0,0,,,
50562.js,0,3,0,0,,,
50570.js,0,3,0,0,,,
50600.js,0,1.333333333,0,0.333333333,,,
50605.js,0,2,0,0,,,
50635.js,0,2,0,0,,,
50646.js,0,2,0,0,,,
50674.js,0,2,0,0,,,
50693.js,0,2,0,0,,,
50721.js,0,2,0,0,,,
50732.js,0,2,0,0,,,
50735.js,0,2,0,0,,,
50818.js,0,2,0,0,,,
50889.js,0,2,0,0,,,
51012.js,0,0.175824176,0.21978022,0.21978022,,,
51042.js,0,0.285714286,0.285714286,0.285714286,,,
51051.js,0,0.75,0.25,0.25,,,
51070.js,0,0.75,0.25,0.25,,,
51083.js,0,0.4,0.4,0.4,,,
5111.js,0,4,0,1,,,
51151.js,0,0.333333333,0.333333333,0.5,,,
51153.js,0,0.166666667,0.5,0.666666667,,,
51188.js,0,0.166666667,0.5,0.5,,,
5133.js,0,0.125,0.25,0.375,,,
5134.js,0,0.678571429,0.714285714,0.714285714,,,
51378.js,0,0.090909091,0.454545455,0.545454545,,,
51515.js,0,0.6,0.2,0.4,,,
51603.js,0,0.801980198,0.841584158,0.841584158,,,
51738.js,0,0.75,0,0.25,,,
5200.js,0,0.2,0.6,0.6,,,
5213.js,0,0.5,0.785714286,0.857142857,,,
5214.js,0,0.473684211,0.684210526,0.684210526,,,
5217.js,0,1,0,0,,,
5246.js,0,0.3,0.7,0.6,,,
5259.js,0,0.125,0.625,0.625,,,
5262.js,0,0.142857143,0.571428571,0.714285714,,,
52707.js,0,0,0.571428571,0.571428571,,,
52733.js,0,0.285714286,0.285714286,0.285714286,,,
52883.js,0,0.1,0.5,0.6,,,
53097.js,0,0.666666667,0.787878788,0.787878788,,,
53217.js,0,1,0.25,0,,,
5323.js,0,2,0,0.5,,,
53346.js,0,0.75,0.25,0.25,,,
53380.js,0,1,0,0,,,
53384.js,0,2,0,0,,,
53399.js,0,0.8,0,0,,,
53473.js,0,0.222222222,0.222222222,0.222222222,,,
53509.js,0,2,0.5,0,,,
53531.js,0,2,0.5,0,,,
53628.js,0,0,0.285714286,0.285714286,,,
53651.js,0,0.357142857,0.642857143,0.642857143,,,
53741.js,0,0,0.555555556,0.444444444,,,
