FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe,jsjiami_recover_unweighted
50635.js,3.0,0.0,4.0,3.0,-1.0,0.0
50646.js,3.0,0.0,4.0,3.0,-1.0,0.0
50674.js,3.0,0.0,4.0,3.0,-1.0,0.0
50693.js,3.0,0.0,4.0,3.0,-1.0,0.0
50721.js,3.0,0.0,-1.0,3.0,-1.0,-1.0
50732.js,3.0,0.0,-1.0,3.0,-1.0,-1.0
50735.js,3.0,0.0,-1.0,3.0,-1.0,-1.0
50818.js,3.0,0.0,4.0,3.0,-1.0,0.0
50889.js,3.0,0.0,4.0,3.0,-1.0,0.0
51012.js,0.03296703296703297,0.0,1.0,0.9560439560439561,-1.0,-1.0
51042.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
51051.js,0.75,0.0,1.0,0.0,-1.0,0.0
51070.js,0.75,0.0,1.0,0.0,-1.0,0.0
51083.js,0.6,0.0,0.8,0.2,-1.0,-1.0
5111.js,3.0,0.0,4.0,3.0,-1.0,0.0
51151.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
51153.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
51188.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
5133.js,0.375,0.0,0.5,0.5,-1.0,0.0
5134.js,0.03571428571428571,-1.0,0.047619047619047616,0.9523809523809523,-1.0,0.0
51378.js,0.2727272727272727,0.0,0.36363636363636365,0.6363636363636364,-1.0,-1.0
51515.js,0.6,0.0,0.8,0.2,-1.0,0.0
51603.js,0.0297029702970297,0.0,1.0,0.9603960396039604,-1.0,-1.0
51738.js,0.75,0.0,1.0,0.0,-1.0,0.0
51803.js,3.0,0.0,4.0,3.0,-1.0,0.0
51903.js,3.0,0.0,4.0,3.0,-1.0,0.0
5200.js,0.6,0.0,0.8,0.2,-1.0,0.0
52115.js,3.0,0.0,4.0,3.0,-1.0,0.0
5213.js,0.21428571428571427,0.0,0.2857142857142857,0.7142857142857143,-1.0,0.0
5214.js,0.15789473684210525,0.0,1.0,0.7894736842105263,-1.0,0.0
5217.js,1.0,0.0,1.3333333333333333,0.3333333333333333,-1.0,0.0
524.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5246.js,0.3,0.0,0.4,0.6,-1.0,0.0
5259.js,0.375,0.0,0.5,0.5,-1.0,0.0
5262.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
52707.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
52733.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,-1.0
52883.js,0.3,0.0,0.4,0.6,-1.0,-1.0
53082.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53089.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53097.js,0.09090909090909091,0.0,1.0,0.8787878787878788,-1.0,0.0
53217.js,0.75,0.0,1.0,0.0,-1.0,-1.0
5323.js,1.5,0.0,2.0,1.0,-1.0,0.0
53346.js,0.75,0.0,1.0,0.0,-1.0,0.0
53380.js,0.75,0.0,1.0,0.0,-1.0,0.0
53384.js,1.5,0.0,2.0,1.0,-1.0,0.0
53399.js,0.6,0.0,0.8,0.2,-1.0,-1.0
53473.js,0.3333333333333333,-1.0,1.0,0.5555555555555556,-1.0,-1.0
53509.js,1.5,0.0,2.0,1.0,-1.0,0.0
53531.js,1.5,0.0,2.0,1.0,-1.0,0.0
53620.js,0.6,0.0,0.8,0.2,-1.0,0.0
53628.js,0.21428571428571427,-1.0,0.2857142857142857,0.7142857142857143,-1.0,0.0
53651.js,0.21428571428571427,0.0,0.2857142857142857,0.7142857142857143,-1.0,0.0
53701.js,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,-1.0,0.0
53741.js,0.3333333333333333,0.0,0.4444444444444444,0.5555555555555556,-1.0,0.0
53868.js,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,-1.0,-1.0
5394.js,0.375,0.0,1.0,0.5,-1.0,0.0
5396.js,0.06521739130434782,0.0,1.0,0.9130434782608695,-1.0,-1.0
53980.js,0.3333333333333333,0.0,0.4444444444444444,0.5555555555555556,-1.0,0.0
5403.js,0.00804289544235925,-1.0,1.0,0.9892761394101877,-1.0,-1.0
54129.js,0.1875,-1.0,0.25,0.75,-1.0,0.0
54238.js,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5431.js,0.07317073170731707,0.0,1.0,0.9024390243902439,-1.0,-1.0
54354.js,0.3,0.0,1.0,0.6,-1.0,0.0
54409.js,0.23076923076923078,0.0,0.3076923076923077,0.6923076923076923,-1.0,0.0
5449.js,3.0,0.0,4.0,3.0,-1.0,0.0
54815.js,0.6,0.0,0.8,0.2,-1.0,0.0
54874.js,0.3,0.0,0.4,0.6,-1.0,-1.0
55065.js,0.5,0.0,0.6666666666666666,0.3333333333333333,-1.0,0.0
55073.js,0.375,0.0,2.0,0.5,-1.0,0.0
5525.js,0.2,0.0,0.26666666666666666,0.7333333333333333,-1.0,0.0
55287.js,0.3,0.0,0.4,0.6,-1.0,0.0
55289.js,0.6,0.0,0.8,0.2,-1.0,0.0
55350.js,0.3,0.0,1.0,0.6,-1.0,0.0
