FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted
59164.js,0.7878787878787878,0.09411764705882353,0.20512820512820512
59167.js,0.7411764705882353,0.12562814070351758,-1.0
59261.js,0.7777777777777778,0.2283464566929134,0.35802469135802467
59294.js,0.8571428571428571,0.10526315789473684,0.2564102564102564
59296.js,0.8333333333333334,0.08411214953271028,-1.0
59309.js,0.8,0.15492957746478872,0.5238095238095238
59540.js,0.6,0.08928571428571429,-1.0
59730.js,1.0,0.14814814814814814,-1.0
59875.js,0.2727272727272727,0.16666666666666666,-1.0
6010.js,0.3125,0.015873015873015872,0.058823529411764705
6014.js,0.7012987012987013,0.05928853754940711,-1.0
60275.js,0.7142857142857143,0.038461538461538464,0.2857142857142857
60326.js,0.5,0.04,0.5
60393.js,1.0,0.08928571428571429,0.5
60544.js,0.5769230769230769,0.09278350515463918,0.2571428571428571
60633.js,0.7407407407407407,0.10810810810810811,-1.0
60774.js,0.625,0.17204301075268819,-1.0
60820.js,0.7142857142857143,0.08196721311475409,0.3333333333333333
60881.js,0.6486486486486487,0.11320754716981132,0.25
60966.js,1.0,0.3116883116883117,0.75
61006.js,0.8181818181818182,0.13157894736842105,-1.0
61022.js,0.7407407407407407,0.20253164556962025,0.5333333333333333
61136.js,0.0,0.0,0.0
61201.js,0.6521739130434783,0.07777777777777778,0.19444444444444445
61344.js,1.0,1.0,-1.0
61443.js,0.8,0.10714285714285714,0.6
61603.js,0.875,0.14516129032258066,0.5625
6162.js,0.4358974358974359,0.046875,-1.0
61642.js,1.0,0.061224489795918366,1.0
61708.js,0.6666666666666666,0.5454545454545454,-1.0
61733.js,1.0,0.04081632653061224,0.6666666666666666
61748.js,0.6666666666666666,0.05454545454545454,0.42857142857142855
6175.js,0.8472222222222222,0.05625,-1.0
61757.js,1.0,0.05660377358490566,0.42857142857142855
61844.js,1.0,0.08064516129032258,0.5555555555555556
61902.js,1.0,0.057692307692307696,0.5
61980.js,1.0,0.15178571428571427,0.4146341463414634
61999.js,0.9411764705882353,0.12903225806451613,0.47058823529411764
62048.js,1.0,0.09433962264150944,0.7142857142857143
62225.js,0.3076923076923077,0.060240963855421686,0.20833333333333334
62277.js,0.3333333333333333,0.04807692307692308,-1.0
6233.js,0.15,0.011904761904761904,0.04
62368.js,1.0,1.0,-1.0
62461.js,1.0,0.058823529411764705,0.6
62479.js,0.8947368421052632,0.17391304347826086,-1.0
62696.js,1.0,0.11627906976744186,-1.0
62703.js,0.65,0.14102564102564102,0.5
62758.js,0.8181818181818182,0.09090909090909091,0.42857142857142855
6279.js,0.02702702702702703,0.03278688524590164,0.25
62860.js,0.5555555555555556,0.12790697674418605,0.3125
62914.js,0.6857142857142857,0.15763546798029557,-1.0
62961.js,0.3783783783783784,0.07482993197278912,-1.0
62996.js,0.5851063829787234,0.12142857142857143,0.24817518248175183
63048.js,0.5,0.03428571428571429,0.4
63067.js,1.0,0.0410958904109589,-1.0
63121.js,0.9333333333333333,0.055900621118012424,-1.0
63155.js,1.0,0.12280701754385964,0.5
63163.js,1.0,0.041666666666666664,1.0
63189.js,0.5,0.001367053998632946,0.4444444444444444
6329.js,0.21428571428571427,0.014084507042253521,0.058823529411764705
63301.js,0.4375,0.05063291139240506,-1.0
63316.js,0.36363636363636365,0.06666666666666667,0.3333333333333333
634.js,0.5,0.016129032258064516,0.125
63436.js,1.0,0.11290322580645161,0.5384615384615384
63481.js,1.0,0.6,-1.0
63520.js,0.36065573770491804,0.11206896551724138,-1.0
63540.js,0.9072164948453608,0.1856060606060606,-1.0
63628.js,0.72,0.13924050632911392,0.3793103448275862
63663.js,0.4230769230769231,0.10614525139664804,-1.0
63674.js,0.5934065934065934,0.10204081632653061,-1.0
63698.js,0.9411764705882353,0.12658227848101267,0.5555555555555556
6370.js,0.18181818181818182,0.015625,0.07142857142857142
63735.js,0.5714285714285714,0.030303030303030304,0.18181818181818182
63757.js,1.0,0.13846153846153847,0.47368421052631576
63832.js,-1.0,-1.0,-1.0
63886.js,1.0,0.058823529411764705,0.5
63991.js,0.8,0.0967741935483871,0.46153846153846156
64206.js,0.25,0.03389830508474576,0.25
6422.js,0.18181818181818182,0.01639344262295082,0.08333333333333333
64381.js,0.5,0.03636363636363636,0.2857142857142857
64405.js,1.0,1.0,-1.0
64486.js,0.3333333333333333,0.0625,0.2631578947368421
64731.js,0.3684210526315789,0.08571428571428572,0.2857142857142857
6476.js,0.35714285714285715,0.04918032786885246,-1.0
64890.js,0.5714285714285714,0.09574468085106383,0.23076923076923078
64988.js,0.8,0.15942028985507245,0.7333333333333333
6500.js,0.5948275862068966,0.0647748303516348,-1.0
65036.js,0.7307692307692307,0.18421052631578946,-1.0
65052.js,0.6923076923076923,-1.0,-1.0
65083.js,0.7307692307692307,0.10843373493975904,-1.0
65192.js,0.7222222222222222,0.08108108108108109,-1.0
65219.js,1.0,0.17567567567567569,-1.0
65234.js,0.7222222222222222,0.10144927536231885,0.35
65267.js,0.7222222222222222,0.09210526315789473,-1.0
65290.js,0.8333333333333334,0.109375,0.5
65321.js,0.7222222222222222,0.08823529411764706,0.2857142857142857
65545.js,0.6578947368421053,0.05555555555555555,0.09859154929577464
6566.js,0.5950413223140496,0.0744047619047619,-1.0
65663.js,0.7055214723926381,0.11342592592592593,-1.0
65828.js,0.5798816568047337,0.07258938244853738,-1.0
6586.js,0.6372549019607843,0.09570957095709572,-1.0
65949.js,0.8947368421052632,0.14705882352941177,0.5
66144.js,0.6190476190476191,0.06470588235294118,-1.0
66199.js,0.75,0.04,-1.0
66225.js,0.5526315789473685,0.07344632768361582,0.14444444444444443
66260.js,0.5555555555555556,0.09712230215827339,-1.0
66323.js,0.5652173913043478,0.11659192825112108,-1.0
66363.js,0.48,0.072992700729927,-1.0
66365.js,0.6521739130434783,0.038461538461538464,-1.0
66377.js,0.75,0.0847457627118644,0.35714285714285715
66394.js,0.8571428571428571,0.09090909090909091,0.4
66399.js,0.4883720930232558,0.07586206896551724,-1.0
66479.js,0.336283185840708,0.006564551422319475,0.022556390977443608
66502.js,0.3882978723404255,0.01155115511551155,-1.0
66716.js,-1.0,-1.0,-1.0
6682.js,-1.0,-1.0,-1.0
66894.js,0.7,0.06349206349206349,0.3333333333333333
6704.js,-1.0,-1.0,-1.0
67717.js,0.8,0.03571428571428571,0.2
67724.js,0.6666666666666666,0.02564102564102564,-1.0
67737.js,0.7058823529411765,0.06896551724137931,-1.0
67871.js,-1.0,-1.0,-1.0
67894.js,0.6666666666666666,0.05660377358490566,0.5
