name,t1,t2,t3,t4,t5,t6
81680.js-ob.js,0.08153128623962402,0.08280587196350098,0.15917181968688965,0.07960724830627441,0.0804300308227539,0.14385986328125
94210.js-ob.js,0.08429384231567383,0.07965207099914551,0.1577589511871338,0.07784700393676758,0.08085107803344727,0.14199280738830566
53868.js-ob.js,0.09048604965209961,0.09498000144958496,0.17462706565856934,0.08313393592834473,0.08403778076171875,0.15073513984680176
27598.js-ob.js,0.08606505393981934,0.08917999267578125,0.1676020622253418,0.08644604682922363,0.07921886444091797,0.15325117111206055
2656.js-ob.js,0.08882880210876465,0.0813302993774414,0.1560678482055664,0.07688593864440918,0.07962799072265625,0.141571044921875
52191.js-ob.js,0.08667182922363281,0.08699488639831543,0.1637592315673828,0.08069968223571777,0.08218812942504883,0.14619016647338867
18887.js-ob.js,0.09094405174255371,0.08622217178344727,0.1673729419708252,0.07956480979919434,0.08112812042236328,0.14574503898620605
83881.js-ob.js,0.09857296943664551,0.10468721389770508,0.1914689540863037,0.09047293663024902,0.09707283973693848,0.17386698722839355
98613.js-ob.js,0.0834200382232666,0.08410906791687012,0.16433405876159668,0.07603192329406738,0.0780339241027832,0.15167522430419922
38760.js-ob.js,0.07987689971923828,0.08166718482971191,0.15993595123291016,0.07770276069641113,0.07926106452941895,0.14128804206848145
22986.js-ob.js,0.08315181732177734,0.07639813423156738,0.14280986785888672,0.07658886909484863,0.07805919647216797,0.1291658878326416
22516.js-ob.js,0.09057998657226562,0.08390688896179199,0.16312313079833984,0.07889199256896973,0.0787508487701416,0.1451430320739746
21071.js-ob.js,0.07816076278686523,0.07294797897338867,0.14393401145935059,0.07033801078796387,0.08832812309265137,0.1478888988494873
27724.js-ob.js,0.0822148323059082,0.08408975601196289,0.1631312370300293,0.08062386512756348,0.0807039737701416,0.15181207656860352
86050.js-ob.js,0.0966639518737793,0.09513521194458008,0.17166686058044434,0.08306097984313965,0.07976603507995605,0.14975690841674805
50145.js-ob.js,0.1192009449005127,0.16049408912658691,0.22942900657653809,0.12935709953308105,0.11411786079406738,0.18710017204284668
634.js-ob.js,0.0940408706665039,0.08394789695739746,0.15978407859802246,0.0811469554901123,0.08361196517944336,0.14861106872558594
71688.js-ob.js,0.10560202598571777,0.12768292427062988,0.21676397323608398,0.10736322402954102,0.11855888366699219,0.19213390350341797
69604.js-ob.js,0.08216094970703125,0.08017301559448242,0.1590571403503418,0.08120489120483398,0.07746195793151855,0.15139102935791016
63674.js-ob.js,0.22275304794311523,0.4218001365661621,0.4377169609069824,0.2051527500152588,0.2235262393951416,0.5247769355773926
59106.js-ob.js,0.09455609321594238,0.10371899604797363,0.17924785614013672,0.08786201477050781,0.08893322944641113,0.157700777053833
86504.js-ob.js,0.07915496826171875,0.07784509658813477,0.15244793891906738,0.07803511619567871,0.07732295989990234,0.1429729461669922
21552.js-ob.js,0.08239006996154785,0.08340597152709961,0.1587200164794922,0.07796382904052734,0.07815814018249512,0.1422429084777832
45107.js-ob.js,0.08184599876403809,0.08089017868041992,0.1717231273651123,0.07928967475891113,0.07703828811645508,0.1430048942565918
80041.js-ob.js,0.08022093772888184,0.08031892776489258,0.15540099143981934,0.07810711860656738,0.07705807685852051,0.14229893684387207
98893.js-ob.js,0.08717489242553711,0.0957021713256836,0.17314505577087402,0.0839700698852539,0.08901667594909668,0.1482391357421875
41931.js-ob.js,0.0974268913269043,0.0889289379119873,0.16920995712280273,0.08002090454101562,0.08035421371459961,0.1558089256286621
81381.js-ob.js,0.08731508255004883,0.09916996955871582,0.17137908935546875,0.09196090698242188,0.09819197654724121,0.15299105644226074
83287.js-ob.js,0.09278297424316406,0.09802794456481934,0.1838231086730957,0.09310102462768555,0.0911109447479248,0.15433001518249512
9117.js-ob.js,0.0817868709564209,0.10342192649841309,0.18365716934204102,0.07497096061706543,0.07557892799377441,0.14104604721069336
52707.js-ob.js,0.08434104919433594,0.08866596221923828,0.16965627670288086,0.08165192604064941,0.08400583267211914,0.14737510681152344
24506.js-ob.js,0.0804588794708252,0.08217883110046387,0.15770816802978516,0.0779728889465332,0.07987093925476074,0.14030122756958008
86715.js-ob.js,0.08429789543151855,0.08707308769226074,0.1662158966064453,0.0874931812286377,0.08583188056945801,0.14594316482543945
