FileName,ugly,recover,jsdec,illu,sd,safe
4676.js,1.0,1.0,-1.0,1.0,0.32136047869915835,0.899966953306706
4677.js,1.0,1.0,-1.0,1.0,0.3414406378060867,0.8986463755309779
4698.js,1.0,1.0,-1.0,0.9974059619080592,0.4121127958723669,0.9845884054930225
4945.js,1.0,1.0,-1.0,0.9976824997815539,0.39287554835440686,0.9573664702424208
49662.js,1.0,1.0,-1.0,1.0,0.3128624638470646,0.8426648406178138
49663.js,1.0,1.0,-1.0,1.0,0.31579098712603326,0.8305395344999219
4998.js,1.0,1.0,-1.0,0.9742446008949094,0.3525271086297344,0.8557296309298302
50084.js,1.0,1.0,-1.0,0.9967999917948296,0.559107121729101,0.9238840148157678
50198.js,1.0,1.0,-1.0,0.9981818166778189,0.5850458771288126,0.9032641836015699
50341.js,0.9981998185222445,1.0,-1.0,0.8697104159070889,0.32650444202503437,0.9804310981221915
50345.js,0.9979818344716921,1.0,-1.0,0.8531901059937433,0.2634972652403698,0.9551249270390708
50382.js,0.9974715509474418,1.0,-1.0,0.8203881234127376,0.20832125568856052,0.9849370589540278
50524.js,1.0,1.0,-1.0,1.0,0.1511014926879634,0.962650940153899
50529.js,1.0,1.0,-1.0,1.0,0.13459547551454137,0.9661876207644757
50552.js,1.0,1.0,-1.0,1.0,0.10777829844714387,0.9632008196945053
50562.js,1.0,1.0,-1.0,1.0,0.10777829844714387,0.9632008196945053
50570.js,1.0,1.0,-1.0,1.0,0.13459547551454137,0.9661876207644757
50605.js,1.0,1.0,-1.0,1.0,0.4089412425049349,0.9221686165299134
50646.js,1.0,1.0,-1.0,1.0,0.34226817119891123,1.0
50674.js,1.0,1.0,-1.0,1.0,0.37880118553701914,1.0
50693.js,1.0,1.0,-1.0,1.0,0.34226817119891123,1.0
50818.js,1.0,1.0,-1.0,1.0,0.2867084012816774,1.0
50889.js,1.0,1.0,-1.0,1.0,0.30150988799770145,1.0
5111.js,1.0,1.0,-1.0,1.0,0.17765696377960558,0.9073928715621605
5133.js,0.9837837837837838,1.0,-1.0,0.9837837837837838,0.34706536475264876,0.9067472700065304
5134.js,1.0,1.0,-1.0,0.9943843128697714,0.2801904114466922,0.9724866552788687
51378.js,1.0,1.0,-1.0,0.9034920419292405,0.408518738783796,0.9094409699154584
51803.js,1.0,1.0,-1.0,1.0,0.02098299754613038,1.0
51903.js,1.0,1.0,-1.0,1.0,0.02111707557199835,1.0
5200.js,1.0,1.0,-1.0,0.9854277116745102,0.3402712139673593,0.9331476933964711
52115.js,1.0,1.0,-1.0,1.0,0.039762138624377205,1.0
5213.js,1.0,1.0,-1.0,0.9888264649460884,0.2951022639963662,0.8506963092234008
5217.js,1.0,1.0,-1.0,0.9960238411119947,0.3813629257799193,0.8727901877681753
5246.js,1.0,1.0,-1.0,1.0,0.3619236835686263,0.9271086256205445
5259.js,1.0,1.0,-1.0,1.0,0.4126262209992919,0.9234800577397756
5262.js,1.0,1.0,-1.0,1.0,0.3499303850236766,0.847482507775365
52733.js,1.0,1.0,-1.0,0.9672131147540983,0.4386852644276354,0.9522837997265794
5394.js,1.0,1.0,-1.0,0.8658295150549296,0.5275801641316772,0.8804814164719635
5449.js,1.0,1.0,-1.0,1.0,0.23168268228563862,0.9536323502349631
