FileName,ugly,recover,jsdec,illu,sd,safe
1115.js,1.0,1.0,-1.0,1.0,0.29025620603376195,-1.0
11216.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11245.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1130.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11429.js,1.0,1.0,-1.0,1.0,0.2516087893381316,-1.0
1225.js,1.0,1.0,-1.0,-1.0,0.4575931037005801,-1.0
12339.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1255.js,1.0,1.0,-1.0,1.0,0.2938390064189132,-1.0
12627.js,1.0,1.0,-1.0,1.0,0.296806212400759,-1.0
1263.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1281.js,1.0,1.0,-1.0,0.9438359551220481,0.2984391372685165,-1.0
13025.js,1.0,1.0,-1.0,1.0,0.2284160962880643,-1.0
13048.js,1.0,1.0,-1.0,1.0,0.21614823853578016,0.701293708439678
13070.js,1.0,1.0,-1.0,-1.0,0.1446635276491074,-1.0
13131.js,1.0,1.0,-1.0,1.0,0.12986260094871308,-1.0
13134.js,1.0,1.0,-1.0,0.8167395497118357,0.2114722130550724,-1.0
13201.js,1.0,1.0,-1.0,1.0,0.18682446746213965,-1.0
13312.js,1.0,1.0,-1.0,1.0,0.15904855449750882,-1.0
13476.js,1.0,1.0,-1.0,1.0,0.17918432802946588,-1.0
13501.js,1.0,1.0,-1.0,1.0,0.17918432802946588,-1.0
13522.js,1.0,1.0,-1.0,1.0,0.17918432802946588,-1.0
13554.js,1.0,1.0,-1.0,1.0,0.08633316946034313,-1.0
13560.js,1.0,1.0,-1.0,1.0,0.17946978994062196,0.8206518066482898
1363.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
13693.js,1.0,1.0,-1.0,1.0,0.20204270845206798,-1.0
138.js,1.0,1.0,-1.0,-1.0,0.43901965769808343,-1.0
1407.js,1.0,1.0,-1.0,0.9907840941940346,0.47370706844223887,-1.0
14959.js,1.0,1.0,-1.0,1.0,0.04316658473017156,0.4364357804719848
14977.js,1.0,1.0,-1.0,1.0,0.1076763804116331,-1.0
15193.js,1.0,1.0,-1.0,1.0,0.05710402407201607,1.0
15741.js,1.0,1.0,-1.0,1.0,0.07122123116119197,-1.0
