FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_recover_unweighted
27247.js,-1,-1,-1,-1,-1
27598.js,0.37762402,0.854866509,0.378125847,0.226551444,0.854866509
27724.js,0.34469697,0.866025404,0.345172742,0.225355329,0.866025404
27838.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
27846.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
27880.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
27891.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
27902.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
28298.js,0.32756921,0.87811408,0.328038171,0.228416096,0.87811408
28473.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
28688.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
28808.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
28877.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
28976.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
29012.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
29132.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
29148.js,0.336349986,0.857194615,0.336836393,0.216694536,0.857194615
29213.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
29258.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
29294.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
29386.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
29408.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
29474.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
29533.js,0.32663729,0.87811408,0.327102254,0.228416096,0.87811408
29540.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
29567.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
29651.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
29704.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
29838.js,-1,-1,-1,-1,-1
2985.js,0.324529119,1,0.324529119,0.042087249,1
29861.js,-1,-1,-1,-1,-1
29913.js,-1,-1,-1,-1,-1
29975.js,-1,-1,-1,-1,-1
29986.js,-1,-1,-1,-1,-1
300.js,-1,-1,-1,-1,-1
30124.js,-1,-1,-1,-1,-1
30293.js,-1,-1,-1,-1,-1
30361.js,-1,-1,-1,-1,-1
30370.js,-1,-1,-1,-1,-1
30375.js,-1,-1,-1,-1,-1
30403.js,-1,-1,-1,-1,-1
30415.js,-1,-1,-1,-1,-1
30510.js,-1,-1,-1,-1,-1
3062.js,0.151371255,1,0.151371255,0.111919078,1
30712.js,-1,-1,-1,-1,-1
30719.js,-1,-1,-1,-1,-1
30771.js,-1,-1,-1,-1,-1
30860.js,-1,-1,-1,-1,-1
30876.js,-1,-1,-1,-1,-1
30894.js,-1,-1,-1,-1,-1
30959.js,-1,-1,-1,-1,-1
30978.js,-1,-1,-1,-1,-1
31344.js,-1,-1,-1,-1,-1
31377.js,-1,-1,-1,-1,-1
31386.js,-1,-1,-1,-1,-1
31487.js,-1,-1,-1,-1,-1
31552.js,-1,-1,-1,-1,-1
31615.js,-1,-1,-1,-1,-1
3174.js,0.134951549,1,0.134951549,0.114783407,1
31854.js,-1,-1,-1,-1,-1
32013.js,-1,-1,-1,-1,-1
32116.js,-1,-1,-1,-1,-1
32164.js,-1,-1,-1,-1,-1
32188.js,-1,-1,-1,-1,-1
32279.js,-1,-1,-1,-1,-1
32369.js,-1,-1,-1,-1,-1
32515.js,-1,-1,-1,-1,-1
32551.js,-1,-1,-1,-1,-1
32556.js,-1,-1,-1,-1,-1
32626.js,-1,-1,-1,-1,-1
32745.js,-1,-1,-1,-1,-1
32747.js,-1,-1,-1,-1,-1
3284.js,0.129207162,1,0.129207162,0.108347268,1
32843.js,-1,-1,-1,-1,-1
32846.js,-1,-1,-1,-1,-1
32896.js,-1,-1,-1,-1,-1
33023.js,-1,-1,-1,-1,-1
33031.js,-1,-1,-1,-1,-1
33046.js,-1,-1,-1,-1,-1
33261.js,-1,-1,-1,-1,-1
33341.js,-1,-1,-1,-1,-1
33370.js,-1,-1,-1,-1,-1
33397.js,-1,-1,-1,-1,-1
33427.js,-1,-1,-1,-1,-1
33489.js,-1,-1,-1,-1,-1
3354.js,0.123508045,1,0.123508045,0.101518265,1
33586.js,-1,-1,-1,-1,-1
33599.js,-1,-1,-1,-1,-1
33613.js,-1,-1,-1,-1,-1
33634.js,-1,-1,-1,-1,-1
33835.js,-1,-1,-1,-1,-1
33895.js,-1,-1,-1,-1,-1
3391.js,0.109108945,1,0.109108945,0.086333169,1
34023.js,-1,-1,-1,-1,-1
34055.js,-1,-1,-1,-1,-1
34209.js,-1,-1,-1,-1,-1
34265.js,-1,-1,-1,-1,-1
34292.js,-1,-1,-1,-1,-1
34322.js,-1,-1,-1,-1,-1
34401.js,-1,-1,-1,-1,-1
34522.js,-1,-1,-1,-1,-1
34526.js,-1,-1,-1,-1,-1
34534.js,-1,-1,-1,-1,-1
34553.js,-1,-1,-1,-1,-1
34602.js,-1,-1,-1,-1,-1
34620.js,-1,-1,-1,-1,-1
34631.js,-1,-1,-1,-1,-1
3465.js,0.409167326,1,0.409167326,0.025970569,1
34651.js,-1,-1,-1,-1,-1
34848.js,-1,-1,-1,-1,-1
34903.js,-1,-1,-1,-1,-1
34939.js,-1,-1,-1,-1,-1
34947.js,-1,-1,-1,-1,-1
35296.js,-1,-1,-1,-1,-1
35349.js,-1,-1,-1,-1,-1
35400.js,-1,-1,-1,-1,-1
35504.js,-1,-1,-1,-1,-1
35540.js,-1,-1,-1,-1,-1
3558.js,0.374696345,0.886792453,0.374696345,0.33648361,0.886792453
35829.js,-1,-1,-1,-1,-1
35855.js,-1,-1,-1,-1,-1
35958.js,-1,-1,-1,-1,-1
35993.js,-1,-1,-1,-1,-1
36135.js,-1,-1,-1,-1,-1
36317.js,-1,-1,-1,-1,-1
36371.js,-1,-1,-1,-1,-1
36376.js,-1,-1,-1,-1,-1
36511.js,-1,-1,-1,-1,-1
36516.js,-1,-1,-1,-1,-1
3653.js,0.170526127,1,0.170526127,0.098703349,1
3659.js,0.109108945,1,0.109108945,0.086333169,1
36637.js,-1,-1,-1,-1,-1
36662.js,-1,-1,-1,-1,-1
36903.js,-1,-1,-1,-1,-1
37088.js,-1,-1,-1,-1,-1
37159.js,-1,-1,-1,-1,-1
3717.js,0.191127393,1,0.191127393,0.085479607,1
3718.js,0.210818511,1,0.210818511,0.076455285,1
37277.js,-1,-1,-1,-1,-1
37464.js,-1,-1,-1,-1,-1
37503.js,-1,-1,-1,-1,-1
37610.js,-1,-1,-1,-1,-1
37699.js,-1,-1,-1,-1,-1
37864.js,-1,-1,-1,-1,-1
37998.js,-1,-1,-1,-1,-1
38001.js,-1,-1,-1,-1,-1
3801.js,0.327498886,1,0.327498886,0.0414637,1
38031.js,-1,-1,-1,-1,-1
38090.js,-1,-1,-1,-1,-1
38102.js,-1,-1,-1,-1,-1
38161.js,-1,-1,-1,-1,-1
38177.js,-1,-1,-1,-1,-1
38295.js,-1,-1,-1,-1,-1
38411.js,-1,-1,-1,-1,-1
38472.js,-1,-1,-1,-1,-1
38577.js,-1,-1,-1,-1,-1
38607.js,-1,-1,-1,-1,-1
38617.js,-1,-1,-1,-1,-1
3873.js,0.116941069,1,0.116941069,0.094216833,1
38760.js,0.32756921,0.87811408,0.328038171,0.228416096,0.87811408
38786.js,0.302528535,0.882448367,0.302968577,0.218592829,0.882448367
38807.js,0.332055991,0.87064849,0.332537581,0.224300154,0.87064849
38815.js,0.30793931,0.882448367,0.308403424,0.218592829,0.882448367
38823.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
3884.js,0.146465509,1,0.146465509,0.116143916,1
38872.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
38970.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
39025.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
3924.js,0.173349599,0.944444444,0.173349599,0.152541539,0.944444444
39278.js,0.345942501,0.860043003,0.346417371,0.221914587,0.860043003
39287.js,0.453772816,0.671716613,-1,0.482300454,0.801234197
39463.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
3949.js,0.129207162,1,0.129207162,0.108347268,1
39563.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39575.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
39641.js,0.328277137,0.87064849,0.328742448,0.224300154,0.87064849
39657.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
39685.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
39689.js,0.333021272,0.87064849,0.33350708,0.224300154,0.87064849
39795.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39835.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
39845.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39953.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39987.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
40095.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
40133.js,0.346489258,0.854409201,0.346960352,0.218626782,0.854409201
40172.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
40283.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
4041.js,0.453026802,0.609379978,0.454464008,0.621502359,-1
40486.js,0.308636269,0.882448367,0.309103546,0.218592829,0.882448367
40512.js,0.330150345,0.87064849,0.33062368,0.224300154,0.87064849
4075.js,0.558779226,0.670680099,-1,0.408825387,-1
