FileName,jsjiami_unweighted,jsjiami_recover_unweighted
44169.js,0.37378473899526665,0.827091048186383
44293.js,0.30863626919962633,0.882448366790893
44333.js,0.30497280088727335,0.882448366790893
44354.js,0.49086329194461925,0.8687541847450109
44431.js,0.3031893189224432,0.882448366790893
44471.js,0.30407713727651015,0.882448366790893
44473.js,0.3067881312103652,0.882448366790893
44518.js,0.30407713727651015,0.882448366790893
44553.js,0.30407713727651015,0.882448366790893
44575.js,0.30407713727651015,0.882448366790893
44576.js,0.30407713727651015,0.882448366790893
44624.js,0.30497280088727335,0.882448366790893
44685.js,0.30497280088727335,0.882448366790893
448.js,-1.0,-1.0
44963.js,0.30497280088727335,0.882448366790893
45063.js,0.3067881312103652,0.882448366790893
45101.js,0.3640165158921696,0.8624216160156492
45107.js,0.30497280088727335,0.882448366790893
45154.js,0.30407713727651015,0.882448366790893
45220.js,0.30497280088727335,0.882448366790893
45243.js,0.30407713727651015,0.882448366790893
45324.js,0.3292097443082097,0.8706484898697716
45333.js,0.33109905533952877,0.8706484898697716
45502.js,0.47456932277987535,-1.0
45730.js,-1.0,-1.0
45861.js,-1.0,-1.0
45919.js,-1.0,-1.0
46.js,0.42845288312179985,0.8384043828125352
46063.js,-1.0,-1.0
46104.js,-1.0,-1.0
46111.js,-1.0,-1.0
46413.js,-1.0,-1.0
46432.js,0.19513961719414,0.9130434782608695
4654.js,0.15391121883271508,0.9285714285714286
46572.js,-1.0,-1.0
4676.js,0.3566077792832782,-1.0
46860.js,-1.0,-1.0
47010.js,-1.0,-1.0
47021.js,-1.0,-1.0
47113.js,-1.0,-1.0
47154.js,0.3862947093664008,0.8705949296291949
47250.js,-1.0,-1.0
47289.js,0.11015898463627034,0.7777777777777778
47526.js,-1.0,-1.0
47656.js,0.10144749970923667,0.8333333333333334
48874.js,-1.0,-1.0
48940.js,-1.0,-1.0
49340.js,0.2269596756426948,0.8163265306122449
49662.js,0.3485484427729494,0.8114429121115485
49680.js,0.8,-1.0
49711.js,0.4817299188725507,-1.0
50055.js,0.4376160088855134,-1.0
50084.js,0.4291306577275624,-1.0
50145.js,0.3554417452717222,-1.0
50382.js,0.33214183575003076,0.7638287395970011
50435.js,0.37685717446468364,-1.0
50453.js,0.4477021858406703,0.7662061249685601
50529.js,0.24130758866434227,0.6846531968814576
50562.js,0.22369181679705114,0.7309879850882874
50570.js,0.24326681639992054,0.6931032800836721
50605.js,0.38731115443603686,0.7379802493151333
50674.js,0.3328713326493031,0.7335453415542506
50721.js,0.34602550389037495,-1.0
50732.js,0.3318852854578061,-1.0
51042.js,0.4281748197181131,0.8143664147069438
51051.js,0.531918915860301,0.9013605442176871
51153.js,0.42915420573250296,0.9421119625783928
51297.js,0.33655423501245485,0.7425904900191392
51515.js,0.31919396924158283,0.8784585919193317
51803.js,0.6283173548751224,0.9388185654008439
51903.js,0.6246559182873034,0.9401709401709402
5191.js,0.18181818181818182,0.85
51915.js,0.6052499273528185,0.933806146572104
51925.js,0.6545634172201686,0.9468864468864469
51930.js,0.6047540627454172,0.9347319347319347
52115.js,0.3517196364351457,0.8257575757575758
5217.js,0.39878951701418525,0.8252088808112142
52191.js,0.3793529382181436,0.8466666666666667
52286.js,0.3537127066086014,0.8296296296296296
52340.js,0.38488588976104093,0.8525641025641025
524.js,-1.0,-1.0
52423.js,0.4106394675543218,0.8743169398907104
5246.js,0.433667587332591,0.7024379145308584
52707.js,0.37319203486548214,0.888
52733.js,0.39076133418160997,-1.0
52883.js,0.4151444778537472,-1.0
52943.js,0.2781080084900791,0.8059431275047654
53065.js,0.1869391252764915,0.8064516129032258
53075.js,0.4871198832148715,0.6859465456330999
53082.js,-1.0,-1.0
53399.js,0.3832602405900818,-1.0
53620.js,0.3314209059996645,0.7480564880520523
53628.js,0.40420671075875186,0.7295578322623139
53659.js,0.3385993102926213,0.8394796608415849
53667.js,0.4006168083848877,0.8538461538461538
53673.js,0.34407649349691904,0.8229166666666666
53701.js,0.3684456412372266,0.6974858324629157
53741.js,0.36793961318164864,0.8231079972079913
53868.js,0.43040883437248634,-1.0
5396.js,0.5833175985198913,-1.0
53980.js,0.31364282821979544,0.8313856449279928
54129.js,0.40656246788536726,0.8259910463055867
54354.js,0.45049532272870707,0.715919383374512
54409.js,0.3570814519458862,0.8539325842696629
54693.js,0.40443801223560044,0.839348773722276
54815.js,0.4317222083634349,0.885155340701324
54985.js,0.46742753272147425,0.8531491709736686
55287.js,0.37006440243241706,0.8547791427732138
55447.js,0.49408106028800824,0.7815318896853336
55460.js,0.28712845225021333,0.9444444444444444
55478.js,0.3973053122845374,-1.0
55560.js,0.42275185432122414,0.7415409284768251
55570.js,0.39174375191290844,0.9180327868852459
5565.js,0.23126063539107014,0.9162613621237831
55685.js,0.8146460925655233,0.9123333088922173
55856.js,0.4535838265753708,0.7740243118828637
55876.js,0.47468082793811794,0.8238095238095238
55879.js,0.3499500604302589,0.8405895189435386
56064.js,0.4204009910334443,0.8400137146215835
56095.js,0.3959813394175195,0.8104133037003397
56372.js,0.3778528262196377,0.8487604953534305
56410.js,0.3864437754238295,0.8253968253968254
56547.js,0.4791206434410669,-1.0
56601.js,0.3518336091006242,-1.0
56923.js,0.43770385900997,0.8320739654177574
57025.js,0.2065187749554881,0.721673978293944
57145.js,-1.0,-1.0
