FileName,ugly,recover,jsdec,illu,sd
39025.js,1.0,1.0,-1.0,1.0,0.21859282926346812
3924.js,1.0,1.0,-1.0,1.0,0.15254153891648026
39278.js,1.0,1.0,-1.0,1.0,0.22191458723728086
39463.js,1.0,1.0,-1.0,1.0,0.21859282926346812
3949.js,1.0,1.0,-1.0,1.0,0.10834726777719228
39563.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39575.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39641.js,1.0,1.0,-1.0,1.0,0.22430015382565205
39657.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39685.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39689.js,1.0,1.0,-1.0,1.0,0.22430015382565205
39795.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39835.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39845.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39953.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39987.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40095.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40133.js,1.0,1.0,-1.0,1.0,0.21862678196541865
40172.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40283.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40486.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40512.js,1.0,1.0,-1.0,1.0,0.22430015382565205
40938.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40984.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41114.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41351.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41427.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41525.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41703.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41746.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41759.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41785.js,1.0,1.0,-1.0,1.0,0.22430015382565205
41931.js,1.0,1.0,-1.0,1.0,0.22430015382565205
41949.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42393.js,1.0,1.0,-1.0,1.0,0.22430015382565205
42462.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42466.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42622.js,1.0,1.0,-1.0,1.0,0.2284160962880643
42641.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42720.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42722.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42892.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42984.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43082.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43405.js,1.0,1.0,-1.0,1.0,0.2284160962880643
