FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
1776.js,1.0,2.0,0.6666666666666666,1.0
1804.js,-1.0,-1.0,-1.0,-1.0
18204.js,-1.0,-1.0,-1.0,-1.0
18831.js,1.0,4.0,1.0,1.0
18887.js,1.0,4.0,1.0,1.0
19689.js,-1.0,-1.0,-1.0,-1.0
19732.js,1.0,1.2,0.6,0.2
19764.js,1.0,2.5,0.5,0.5
19765.js,1.0,3.0,1.5,1.5
19772.js,1.0,5.0,1.0,1.0
19847.js,1.0,1.4285714285714286,0.8571428571428571,0.8571428571428571
19912.js,1.0,2.0,1.0,1.0
19946.js,1.0,4.0,1.0,1.0
19970.js,1.0,2.0,0.6666666666666666,0.3333333333333333
19985.js,1.0,2.3333333333333335,1.3333333333333333,1.0
20050.js,1.0,3.0,1.5,1.5
20087.js,1.0,2.0,0.5,0.5
20134.js,1.0,2.5,0.5,0.5
20226.js,1.0,4.0,1.0,1.0
20252.js,1.0,4.0,1.0,1.0
20268.js,1.0,5.0,2.0,1.0
2044.js,-1.0,-1.0,-1.0,-1.0
20473.js,1.0,3.0,1.0,1.0
20524.js,1.0,4.0,1.0,1.0
20564.js,1.0,4.0,1.0,1.0
20750.js,1.0,5.0,1.0,1.0
20837.js,1.0,5.0,1.0,1.0
2096.js,-1.0,-1.0,-1.0,-1.0
21.js,1.0,3.0,0.5,1.0
2101.js,-1.0,-1.0,-1.0,-1.0
21010.js,-1.0,-1.0,-1.0,-1.0
21071.js,1.0,0.5,0.5,0.5
21163.js,1.0,2.0,0.5,1.0
21166.js,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333
21170.js,1.0,2.5,0.5,0.5
2125.js,-1.0,-1.0,-1.0,-1.0
21279.js,-1.0,-1.0,-1.0,-1.0
21436.js,1.0,4.0,1.0,1.0
21552.js,1.0,3.0,1.5,1.5
21736.js,1.0,3.0,1.5,1.5
21946.js,1.0,1.5,0.75,0.5
22499.js,1.0,2.0,0.6666666666666666,1.0
22516.js,1.0,2.5,1.0,0.5
22798.js,-1.0,-1.0,-1.0,-1.0
22829.js,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
22857.js,-1.0,-1.0,-1.0,-1.0
22918.js,1.0,1.0,1.0,1.0
22924.js,-1.0,-1.0,-1.0,-1.0
22986.js,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
2324.js,1.0,0.6,0.3,0.2
23429.js,-1.0,-1.0,-1.0,-1.0
23809.js,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
23866.js,1.0,1.0,1.0,1.0
23895.js,1.0,1.0,1.0,1.0
24270.js,1.0,0.9333333333333333,0.6666666666666666,0.6666666666666666
24292.js,1.0,0.875,0.25,0.375
24340.js,1.0,2.3333333333333335,1.0,0.6666666666666666
24371.js,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
24506.js,1.0,4.0,1.0,1.0
24860.js,1.0,4.0,1.0,1.0
24862.js,1.0,4.0,1.0,1.0
24907.js,1.0,1.2,0.6,0.4
24913.js,1.0,2.0,1.0,1.5
2496.js,1.0,4.0,1.0,1.0
25001.js,-1.0,-1.0,-1.0,-1.0
2614.js,1.0,4.0,1.0,1.0
26541.js,-1.0,-1.0,-1.0,-1.0
2656.js,1.0,1.2,0.6,0.4
27002.js,-1.0,-1.0,-1.0,-1.0
27178.js,-1.0,-1.0,-1.0,-1.0
27182.js,-1.0,-1.0,-1.0,-1.0
27245.js,-1.0,-1.0,-1.0,-1.0
27247.js,-1.0,-1.0,-1.0,-1.0
27598.js,1.0,1.125,0.625,0.625
27724.js,1.0,1.125,0.5,0.5
27838.js,1.0,1.125,0.625,0.625
27846.js,1.0,1.125,0.5,0.625
27880.js,1.0,1.125,0.625,0.625
27891.js,1.0,1.125,0.625,0.625
27902.js,1.0,1.125,0.625,0.625
28298.js,1.0,1.125,0.5,0.625
28473.js,1.0,1.125,0.5,0.625
28688.js,1.0,1.125,0.625,0.5
28808.js,1.0,1.125,0.625,0.5
28877.js,1.0,1.125,0.625,0.5
28976.js,1.0,1.125,0.625,0.625
29012.js,1.0,1.125,0.625,0.5
29132.js,1.0,1.125,0.625,0.625
29148.js,1.0,1.125,0.625,0.625
29213.js,1.0,1.125,0.625,0.5
29258.js,1.0,1.125,0.5,0.625
29294.js,1.0,1.125,0.5,0.5
29386.js,1.0,1.125,0.625,0.625
29408.js,1.0,1.125,0.5,0.625
29474.js,1.0,1.125,0.625,0.625
29533.js,1.0,1.125,0.5,0.625
29540.js,1.0,1.125,0.625,0.625
29567.js,1.0,1.125,0.625,0.625
29651.js,1.0,1.125,0.625,0.625
29704.js,1.0,1.125,0.625,0.625
29838.js,-1.0,-1.0,-1.0,-1.0
2985.js,1.0,4.0,1.0,1.0
29861.js,-1.0,-1.0,-1.0,-1.0
29913.js,-1.0,-1.0,-1.0,-1.0
29975.js,-1.0,-1.0,-1.0,-1.0
29986.js,-1.0,-1.0,-1.0,-1.0
300.js,-1.0,-1.0,-1.0,-1.0
30124.js,-1.0,-1.0,-1.0,-1.0
30293.js,-1.0,-1.0,-1.0,-1.0
30361.js,-1.0,-1.0,-1.0,-1.0
30370.js,-1.0,-1.0,-1.0,-1.0
30375.js,-1.0,-1.0,-1.0,-1.0
30403.js,-1.0,-1.0,-1.0,-1.0
30415.js,-1.0,-1.0,-1.0,-1.0
30510.js,-1.0,-1.0,-1.0,-1.0
3062.js,1.0,4.0,1.0,1.0
30712.js,-1.0,-1.0,-1.0,-1.0
30719.js,-1.0,-1.0,-1.0,-1.0
30771.js,-1.0,-1.0,-1.0,-1.0
