FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
40172.js,0,0.125,0.375,0.5,,,
40283.js,0,0.125,0.5,0.5,,,
4041.js,0,2,0,0,,,
40486.js,0,0.125,0.375,0.375,,,
40512.js,0,0.125,0.375,0.375,,,
4075.js,0,3,0,0,,,
40938.js,0,0.125,0.375,0.5,,,
40984.js,0,0.125,0.5,0.375,,,
41114.js,0,0.125,0.5,0.375,,,
41351.js,0,0.125,0.5,0.375,,,
41427.js,0,0.125,0.375,0.375,,,
41525.js,0,0.125,0.375,0.375,,,
4165.js,0,3,0,0,,,
41703.js,0,0.125,0.375,0.375,,,
41746.js,0,0.125,0.375,0.375,,,
41759.js,0,0.125,0.5,0.375,,,
41785.js,0,0.125,0.375,0.375,,,
41931.js,0,0.125,0.375,0.375,,,
41949.js,0,0.125,0.375,0.5,,,
42393.js,0,0.125,0.375,0.375,,,
42462.js,0,0.125,0.5,0.5,,,
42466.js,0,0.125,0.375,0.375,,,
42622.js,0,0.125,0.375,0.375,,,
42641.js,0,0.125,0.5,0.375,,,
42720.js,0,0.125,0.375,0.375,,,
42722.js,0,0.125,0.5,0.375,,,
42892.js,0,0.125,0.375,0.375,,,
42984.js,0,0.125,0.375,0.375,,,
43082.js,0,0.125,0.375,0.375,,,
43405.js,0,0.125,0.375,0.5,,,
43492.js,0,0.125,0.375,0.375,,,
43566.js,0,0.125,0.375,0.375,,,
43851.js,0,0.125,0.5,0.375,,,
43891.js,0,0.125,0.375,0.5,,,
43898.js,0,0.125,0.375,0.375,,,
43931.js,0,0.125,0.5,0.375,,,
43981.js,0,0.125,0.5,0.5,,,
44079.js,0,0.125,0.375,0.375,,,
44114.js,0,0.125,0.5,0.5,,,
44122.js,0,0.125,0.5,0.375,,,
44139.js,0,0.125,0.5,0.375,,,
44169.js,0,0.125,0.375,0.375,,,
44293.js,0,0.125,0.375,0.5,,,
44333.js,0,0.125,0.375,0.375,,,
44354.js,0,0.090909091,0.272727273,0.272727273,,,
44431.js,0,0.125,0.5,0.375,,,
44471.js,0,0.125,0.375,0.375,,,
44473.js,0,0.125,0.375,0.375,,,
44518.js,0,0.125,0.5,0.375,,,
44553.js,0,0.125,0.375,0.375,,,
44575.js,0,0.125,0.375,0.375,,,
44576.js,0,0.125,0.375,0.375,,,
44624.js,0,0.125,0.375,0.375,,,
44685.js,0,0.125,0.375,0.375,,,
44963.js,0,0.125,0.5,0.375,,,
45063.js,0,0.125,0.375,0.375,,,
45101.js,0,0.125,0.375,0.375,,,
45107.js,0,0.125,0.375,0.375,,,
45154.js,0,0.125,0.375,0.5,,,
45220.js,0,0.125,0.375,0.375,,,
45243.js,0,0.125,0.375,0.375,,,
45324.js,0,0.125,0.375,0.5,,,
45333.js,0,0.125,0.5,0.5,,,
45502.js,0,0.75,0,0.25,,,
46.js,0,1.333333333,0,0.333333333,,,
46432.js,0,2,0.5,0.5,,,
4654.js,0,1.5,1,0,,,
4676.js,0,1,0,0.333333333,,,
