FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
20268.js,1,5,2,1,,,
20473.js,1,3,1,1,,,
20524.js,1,4,1,1,,,
20564.js,1,4,1,1,,,
20750.js,1,5,1,1,,,
20837.js,1,5,1,1,,,
21.js,1,3,0.5,1,,,
21071.js,1,0.5,0.5,0.5,,,
21163.js,1,2,0.5,1,,,
21166.js,1,1.666666667,0.333333333,0.333333333,,,
21170.js,1,2.5,0.5,0.5,,,
21436.js,1,4,1,1,,,
21552.js,1,3,1.5,1.5,,,
21736.js,1,3,1.5,1.5,,,
21946.js,1,1.5,0.75,0.5,,,
22499.js,1,2,0.666666667,1,,,
22516.js,1,2.5,1,0.5,,,
22829.js,1,0.333333333,0.333333333,0.333333333,,,
22918.js,1,1,1,1,,,
22986.js,1,0.142857143,0.142857143,0.142857143,,,
2324.js,1,0.6,0.3,0.2,,,
23809.js,1,0.666666667,0.666666667,0.666666667,,,
23866.js,1,1,1,1,,,
23895.js,1,1,1,1,,,
24270.js,1,0.933333333,0.666666667,0.666666667,,,
24292.js,1,0.875,0.25,0.375,,,
24340.js,1,2.333333333,1,0.666666667,,,
24371.js,1,1.333333333,0.666666667,0.666666667,,,
24506.js,1,4,1,1,,,
24860.js,1,4,1,1,,,
24862.js,1,4,1,1,,,
24907.js,1,1.2,0.6,0.4,,,
24913.js,1,2,1,1.5,,,
2496.js,1,4,1,1,,,
2614.js,1,4,1,1,,,
2656.js,1,1.2,0.6,0.4,,,
27598.js,1,1.125,0.625,0.625,,,
27724.js,1,1.125,0.5,0.5,,,
27838.js,1,1.125,0.625,0.625,,,
27846.js,1,1.125,0.5,0.625,,,
27880.js,1,1.125,0.625,0.625,,,
27891.js,1,1.125,0.625,0.625,,,
27902.js,1,1.125,0.625,0.625,,,
28298.js,1,1.125,0.5,0.625,,,
28473.js,1,1.125,0.5,0.625,,,
28688.js,1,1.125,0.625,0.5,,,
28808.js,1,1.125,0.625,0.5,,,
28877.js,1,1.125,0.625,0.5,,,
28976.js,1,1.125,0.625,0.625,,,
29012.js,1,1.125,0.625,0.5,,,
29132.js,1,1.125,0.625,0.625,,,
29148.js,1,1.125,0.625,0.625,,,
29213.js,1,1.125,0.625,0.5,,,
29258.js,1,1.125,0.5,0.625,,,
29294.js,1,1.125,0.5,0.5,,,
29386.js,1,1.125,0.625,0.625,,,
29408.js,1,1.125,0.5,0.625,,,
29474.js,1,1.125,0.625,0.625,,,
29533.js,1,1.125,0.5,0.625,,,
29540.js,1,1.125,0.625,0.625,,,
29567.js,1,1.125,0.625,0.625,,,
29651.js,1,1.125,0.625,0.625,,,
29704.js,1,1.125,0.625,0.625,,,
2985.js,1,4,1,1,,,
3062.js,1,4,1,1,,,
3174.js,1,4,1,1,,,
3284.js,1,4,1,1,,,
