FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
50562.js,0.9,0.014925373,0.047619048,,,
50570.js,0.857142857,0.014084507,0.045454545,,,
50605.js,0.566666667,0.02173913,0.054054054,,,
50674.js,0.631578947,0.105263158,0.36,,,
51042.js,0.62745098,0.107784431,0.243243243,,,
51051.js,0.576923077,0.096385542,0.275862069,,,
51153.js,0.5,0.139240506,0.34375,,,
51297.js,0.740740741,0.070588235,0.1875,,,
51515.js,0.647058824,0.075757576,0.277777778,,,
51803.js,1,0.014705882,0.045454545,,,
51903.js,1,0.014705882,0.045454545,,,
5191.js,1,0.08,0.666666667,,,
51915.js,1,0.014705882,0.045454545,,,
51925.js,1,0.014705882,0.045454545,,,
51930.js,1,0.014705882,0.045454545,,,
52115.js,1,0.014925373,0.047619048,,,
5217.js,0.555555556,0.046153846,0.157894737,,,
52191.js,1,0.014925373,0.047619048,,,
52286.js,1,0.014925373,0.047619048,,,
52340.js,1,0.014925373,0.047619048,,,
52423.js,1,0.014925373,0.047619048,,,
5246.js,0.735294118,0.101123596,0.219512195,,,
52943.js,0.842105263,0.142857143,0.5625,,,
53065.js,1,0.037735849,0.25,,,
53620.js,0.777777778,0.098591549,0.318181818,,,
53628.js,0.793103448,0.113636364,0.303030303,,,
53659.js,0.727272727,0.136363636,0.409090909,,,
53667.js,0.863636364,0.102941176,0.291666667,,,
53673.js,0.894736842,0.061538462,0.2,,,
53701.js,0.9,0.123076923,0.363636364,,,
53741.js,0.92,0.083333333,0.222222222,,,
53980.js,1,0.142857143,0.666666667,,,
54129.js,0.8,0.189189189,0.466666667,,,
54354.js,0.772727273,0.121212121,0.260869565,,,
54409.js,1,0.087719298,0.416666667,,,
54693.js,0.8,0.06741573,0.162162162,,,
54815.js,0.826086957,0.134328358,0.391304348,,,
54985.js,0.810810811,0.113636364,0.23255814,,,
55287.js,0.9,0.147058824,0.454545455,,,
55447.js,0.827586207,0.150862069,0.336538462,,,
55460.js,1,0.096153846,0.714285714,,,
55570.js,0.64,0.093333333,0.233333333,,,
5565.js,0.5,0.034482759,0.5,,,
55685.js,0.979591837,0.537414966,0.759615385,,,
55856.js,0.72972973,0.102040816,0.196078431,,,
55876.js,0.72,0.082191781,0.214285714,,,
55879.js,0.882352941,0.09375,0.3,,,
56064.js,1,0.184615385,0.6,,,
56095.js,0.9,0.092307692,0.3,,,
56372.js,0.692307692,0.064102564,0.185185185,,,
56410.js,1,0.081967213,0.3125,,,
57025.js,0.55,0.015037594,0.095238095,,,
57449.js,0.777777778,0.05,0.25,,,
57583.js,1,0.262135922,0.465517241,,,
57591.js,1,0.13559322,0.533333333,,,
57698.js,0.857142857,0.116666667,0.538461538,,,
58229.js,0.8,0.125,0.391304348,,,
58550.js,0.857142857,0.158730159,0.666666667,,,
58570.js,0.777777778,0.127272727,0.777777778,,,
58685.js,1,0.189189189,0.5,,,
58800.js,1,0.122807018,0.583333333,,,
58819.js,1,0.040816327,0.666666667,,,
