FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
3924.js,0.0,1.0,0.3333333333333333,0.3333333333333333
39278.js,0.0,0.125,0.375,0.375
39287.js,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727
39463.js,0.0,0.125,0.375,0.375
3949.js,0.0,3.0,0.0,0.0
39563.js,0.0,0.125,0.5,0.5
39575.js,0.0,0.125,0.375,0.375
39641.js,0.0,0.125,0.375,0.5
39657.js,0.0,0.125,0.375,0.5
39685.js,0.0,0.125,0.5,0.375
39689.js,0.0,0.125,0.375,0.375
39795.js,0.0,0.125,0.375,0.5
39835.js,0.0,0.125,0.375,0.375
39845.js,0.0,0.125,0.5,0.5
39953.js,0.0,0.125,0.375,0.375
39987.js,0.0,0.125,0.375,0.375
40095.js,0.0,0.125,0.5,0.5
40133.js,0.0,0.125,0.375,0.375
40172.js,0.0,0.125,0.375,0.5
40283.js,0.0,0.125,0.5,0.5
4041.js,0.0,2.0,0.0,0.0
40486.js,0.0,0.125,0.375,0.375
40512.js,0.0,0.125,0.375,0.375
4075.js,0.0,3.0,0.0,0.0
40938.js,0.0,0.125,0.375,0.5
40984.js,0.0,0.125,0.5,0.375
41114.js,0.0,0.125,0.5,0.375
41351.js,0.0,0.125,0.5,0.375
41427.js,0.0,0.125,0.375,0.375
41525.js,0.0,0.125,0.375,0.375
4165.js,0.0,3.0,0.0,0.0
41703.js,0.0,0.125,0.375,0.375
41746.js,0.0,0.125,0.375,0.375
41759.js,0.0,0.125,0.5,0.375
41785.js,0.0,0.125,0.375,0.375
41931.js,0.0,0.125,0.375,0.375
41949.js,0.0,0.125,0.375,0.5
42393.js,0.0,0.125,0.375,0.375
42462.js,0.0,0.125,0.5,0.5
42466.js,0.0,0.125,0.375,0.375
42622.js,0.0,0.125,0.375,0.375
42641.js,0.0,0.125,0.5,0.375
42720.js,0.0,0.125,0.375,0.375
42722.js,0.0,0.125,0.5,0.375
42892.js,0.0,0.125,0.375,0.375
42984.js,0.0,0.125,0.375,0.375
43082.js,0.0,0.125,0.375,0.375
43405.js,0.0,0.125,0.375,0.5
43492.js,0.0,0.125,0.375,0.375
43566.js,0.0,0.125,0.375,0.375
43851.js,0.0,0.125,0.5,0.375
43891.js,0.0,0.125,0.375,0.5
43898.js,0.0,0.125,0.375,0.375
43931.js,0.0,0.125,0.5,0.375
43981.js,0.0,0.125,0.5,0.5
