FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted
30771.js,-1.0,-1.0,-1.0
30860.js,-1.0,-1.0,-1.0
30876.js,-1.0,-1.0,-1.0
30894.js,-1.0,-1.0,-1.0
30959.js,-1.0,-1.0,-1.0
30978.js,-1.0,-1.0,-1.0
31344.js,-1.0,-1.0,-1.0
31377.js,-1.0,-1.0,-1.0
31386.js,-1.0,-1.0,-1.0
31487.js,-1.0,-1.0,-1.0
31552.js,-1.0,-1.0,-1.0
31615.js,-1.0,-1.0,-1.0
3174.js,1.0,4.0,1.0
31854.js,-1.0,-1.0,-1.0
32013.js,-1.0,-1.0,-1.0
32116.js,-1.0,-1.0,-1.0
32164.js,-1.0,-1.0,-1.0
32188.js,-1.0,-1.0,-1.0
32279.js,-1.0,-1.0,-1.0
32369.js,-1.0,-1.0,-1.0
32515.js,-1.0,-1.0,-1.0
32551.js,-1.0,-1.0,-1.0
32556.js,-1.0,-1.0,-1.0
32626.js,-1.0,-1.0,-1.0
32745.js,-1.0,-1.0,-1.0
32747.js,-1.0,-1.0,-1.0
3284.js,1.0,4.0,1.0
32843.js,-1.0,-1.0,-1.0
32846.js,-1.0,-1.0,-1.0
32896.js,-1.0,-1.0,-1.0
33023.js,-1.0,-1.0,-1.0
33031.js,-1.0,-1.0,-1.0
33046.js,-1.0,-1.0,-1.0
33261.js,-1.0,-1.0,-1.0
33341.js,-1.0,-1.0,-1.0
33370.js,-1.0,-1.0,-1.0
33397.js,-1.0,-1.0,-1.0
33427.js,-1.0,-1.0,-1.0
33489.js,-1.0,-1.0,-1.0
3354.js,1.0,4.0,1.0
33586.js,-1.0,-1.0,-1.0
33599.js,-1.0,-1.0,-1.0
33613.js,-1.0,-1.0,-1.0
33634.js,-1.0,-1.0,-1.0
33835.js,-1.0,-1.0,-1.0
33895.js,-1.0,-1.0,-1.0
3391.js,1.0,4.0,1.0
34023.js,-1.0,-1.0,-1.0
34055.js,-1.0,-1.0,-1.0
34209.js,-1.0,-1.0,-1.0
34265.js,-1.0,-1.0,-1.0
34292.js,-1.0,-1.0,-1.0
34322.js,-1.0,-1.0,-1.0
34401.js,-1.0,-1.0,-1.0
34522.js,-1.0,-1.0,-1.0
34526.js,-1.0,-1.0,-1.0
34534.js,-1.0,-1.0,-1.0
34553.js,-1.0,-1.0,-1.0
34602.js,-1.0,-1.0,-1.0
34620.js,-1.0,-1.0,-1.0
34631.js,-1.0,-1.0,-1.0
3465.js,1.0,4.0,1.0
34651.js,-1.0,-1.0,-1.0
34848.js,-1.0,-1.0,-1.0
34903.js,-1.0,-1.0,-1.0
34939.js,-1.0,-1.0,-1.0
34947.js,-1.0,-1.0,-1.0
35296.js,-1.0,-1.0,-1.0
35349.js,-1.0,-1.0,-1.0
35400.js,-1.0,-1.0,-1.0
35504.js,-1.0,-1.0,-1.0
35540.js,-1.0,-1.0,-1.0
3558.js,1.0,1.2142857142857142,1.0
35829.js,-1.0,-1.0,-1.0
35855.js,-1.0,-1.0,-1.0
35958.js,-1.0,-1.0,-1.0
35993.js,-1.0,-1.0,-1.0
36135.js,-1.0,-1.0,-1.0
36317.js,-1.0,-1.0,-1.0
36371.js,-1.0,-1.0,-1.0
36376.js,-1.0,-1.0,-1.0
36511.js,-1.0,-1.0,-1.0
36516.js,-1.0,-1.0,-1.0
3653.js,1.0,4.0,1.0
3659.js,1.0,4.0,1.0
36637.js,-1.0,-1.0,-1.0
36662.js,-1.0,-1.0,-1.0
36903.js,-1.0,-1.0,-1.0
37088.js,-1.0,-1.0,-1.0
37159.js,-1.0,-1.0,-1.0
3717.js,1.0,4.0,1.0
3718.js,1.0,4.0,1.0
37277.js,-1.0,-1.0,-1.0
37464.js,-1.0,-1.0,-1.0
37503.js,-1.0,-1.0,-1.0
37610.js,-1.0,-1.0,-1.0
37699.js,-1.0,-1.0,-1.0
37864.js,-1.0,-1.0,-1.0
37998.js,-1.0,-1.0,-1.0
38001.js,-1.0,-1.0,-1.0
3801.js,1.0,4.0,1.0
38031.js,-1.0,-1.0,-1.0
38090.js,-1.0,-1.0,-1.0
38102.js,-1.0,-1.0,-1.0
38161.js,-1.0,-1.0,-1.0
38177.js,-1.0,-1.0,-1.0
38295.js,-1.0,-1.0,-1.0
38411.js,-1.0,-1.0,-1.0
38472.js,-1.0,-1.0,-1.0
38577.js,-1.0,-1.0,-1.0
38607.js,-1.0,-1.0,-1.0
38617.js,-1.0,-1.0,-1.0
3873.js,1.0,4.0,1.0
38760.js,1.0,1.375,1.0
38786.js,1.0,1.375,1.0
38807.js,1.0,1.375,1.0
38815.js,1.0,1.375,1.0
38823.js,1.0,1.375,1.0
3884.js,1.0,4.0,1.0
38872.js,1.0,1.375,1.0
38970.js,1.0,1.375,1.0
39025.js,1.0,1.375,1.0
3924.js,1.0,2.0,1.0
39278.js,1.0,1.375,1.0
39287.js,1.0,1.2727272727272727,1.0
39463.js,1.0,1.375,1.0
3949.js,1.0,4.0,1.0
39563.js,1.0,1.375,1.0
39575.js,1.0,1.375,1.0
39641.js,1.0,1.375,1.0
39657.js,1.0,1.375,1.0
39685.js,1.0,1.375,1.0
39689.js,1.0,1.375,1.0
39795.js,1.0,1.375,1.0
39835.js,1.0,1.375,1.0
39845.js,1.0,1.375,1.0
39953.js,1.0,1.375,1.0
39987.js,1.0,1.375,1.0
40095.js,1.0,1.375,1.0
40133.js,1.0,1.375,1.0
40172.js,1.0,1.375,1.0
40283.js,1.0,1.375,1.0
4041.js,1.0,4.0,-1.0
40486.js,1.0,1.375,1.0
40512.js,1.0,1.375,1.0
4075.js,1.0,4.0,-1.0
40938.js,1.0,1.375,1.0
40984.js,1.0,1.375,1.0
41114.js,1.0,1.375,1.0
41351.js,1.0,1.375,1.0
41427.js,1.0,1.375,1.0
41525.js,1.0,1.375,1.0
4165.js,1.0,4.0,-1.0
41703.js,1.0,1.375,1.0
41746.js,1.0,1.375,1.0
41759.js,1.0,1.375,1.0
41785.js,1.0,1.375,1.0
41931.js,1.0,1.375,1.0
41949.js,1.0,1.375,1.0
42393.js,1.0,1.375,1.0
42462.js,1.0,1.375,1.0
42466.js,1.0,1.375,1.0
42622.js,1.0,1.375,1.0
42641.js,1.0,1.375,1.0
42720.js,1.0,1.375,1.0
42722.js,1.0,1.375,1.0
42892.js,1.0,1.375,1.0
42984.js,1.0,1.375,1.0
43082.js,1.0,1.375,1.0
43405.js,1.0,1.375,1.0
43492.js,1.0,1.375,1.0
43566.js,1.0,1.375,1.0
43851.js,1.0,1.375,1.0
43891.js,1.0,1.375,1.0
43898.js,1.0,1.375,1.0
43931.js,1.0,1.375,1.0
