FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_recover_unweighted
17034.js,1,-1,1,0.057104024,1
17041.js,1,-1,1,0.057104024,1
1718.js,0.388946043,-1,0.42608947,0.221258655,0.569921579
17294.js,0.39966905,-1,0.711286759,0.087318089,0.638442398
1732.js,0.316591372,-1,0.332672108,0.136744971,0.555741445
17569.js,0.12344268,0.129099445,0.13012001,0.017025131,0.676123404
1776.js,0.457788701,-1,0.471457036,0.212362989,0.686351536
1804.js,-1,-1,-1,-1,-1
18204.js,-1,-1,-1,-1,-1
18831.js,0.412291052,0.420555092,0.419032106,0.355430788,0.663376146
18887.js,0.438509662,0.447263294,0.442216639,0.352002449,0.669922121
19689.js,-1,-1,-1,-1,-1
19732.js,0.3112686,0.323322138,0.325905312,0.169663217,0.525225731
19764.js,0.477113107,0.493555165,0.503717523,0.26776203,0.762739254
19765.js,0.260693623,0.271448357,0.278115203,0.06104677,0.496342306
19772.js,0.253401517,0.264504606,0.264504606,0.057104024,0.714434508
19847.js,0.456220328,-1,0.50005772,0.190096948,0.568622354
19912.js,0.395553517,-1,0.407542699,0.114208048,0.602356701
19946.js,0.299370409,-1,0.317063244,0.07860337,0.842105263
19970.js,0.419833171,-1,0.453709383,0.212100661,0.700825558
19985.js,0.423168384,-1,-1,0.1387738,0.743084653
20050.js,0.278886676,0.290408935,0.293069225,0.06104677,0.496342306
20087.js,0.457004698,-1,0.466499671,0.257722771,0.778027555
20134.js,0.40500865,0.418978549,-1,0.211472213,0.73493092
20226.js,0.172917125,0.180415434,0.178726641,0.100722031,0.857142857
20252.js,0.19245009,0.200573889,0.203519332,0.071944308,1
20268.js,0.283235277,0.295293189,0.317820863,0.102150784,0.789352217
2044.js,-1,-1,-1,-1,-1
20473.js,0.342862741,0.353700797,0.408447777,0.205437716,0.634795895
20524.js,0.284502555,0.281112771,0.301170247,0.153226176,0.571547607
20564.js,0.190159707,-1,0.201246118,0.048154341,0.711512474
20750.js,0.346687623,0.361787303,0.359907875,0.159891267,0.790263329
20837.js,0.388807896,-1,0.439941345,0.211472213,0.801783726
2096.js,-1,-1,-1,-1,-1
21.js,0.529626051,-1,-1,0.337463881,0.53081835
2101.js,-1,-1,-1,-1,-1
21010.js,-1,-1,-1,-1,-1
21071.js,0.376889181,-1,1,0.10767638,0.935414347
21163.js,0.294883912,0.289175872,0.313625024,0.143568507,0.533333333
21166.js,0.472006161,0.480001329,-1,0.230086001,0.923247658
21170.js,0.323592401,0.335200762,0.34606427,0.153226176,0.878310066
2125.js,-1,-1,-1,-1,-1
21279.js,-1,-1,-1,-1,-1
21436.js,0.221162934,0.229415734,0.240192231,0.114208048,0.647150229
21552.js,0.389792857,0.408670689,0.404675767,0.235746812,0.572169896
21736.js,0.223038546,-1,0.206406275,0.110663349,0.391964748
21946.js,0.402541569,0.417152925,-1,0.193849529,0.787760989
22499.js,0.469869799,0.486824429,0.500278009,0.24174061,0.644485053
22516.js,0.476728432,0.491910259,-1,0.265923271,0.718994112
22798.js,-1,-1,-1,-1,-1
22829.js,0.527046277,-1,0.527046277,0.012038585,0.527046277
22857.js,-1,-1,-1,-1,-1
22918.js,1,-1,1,0.050759133,1
22924.js,-1,-1,-1,-1,-1
22986.js,0.591082805,-1,-1,0.100722031,0.591082805
2324.js,0.375,0.393166825,0.406952672,0.287137014,0.538468619
23429.js,-1,-1,-1,-1,-1
23809.js,0.617394907,-1,-1,0.162520902,0.925
23866.js,0.566138517,-1,1,0.062166987,1
23895.js,0.468292906,-1,1,0.062166987,1
24270.js,0.492831265,-1,0.584847659,0.34466968,0.70941257
24292.js,0.270310253,-1,0.285931385,0.127865702,0.319221199
24340.js,0.236299732,-1,0.248591538,0.103305066,0.818181818
24371.js,0.337036171,-1,0.369800131,0.190346747,0.481125224
24506.js,0.331042355,0.344690994,0.346410162,0.147646595,0.87181275
24860.js,0.472183223,-1,0.532521009,0.494667384,0.626191052
24862.js,0.461960697,0.473123773,0.526410526,0.55662413,0.625469182
24907.js,0.519763457,-1,0.582730539,0.250871958,0.649032297
24913.js,0.403489583,-1,0.439098368,0.410149797,0.605730867
2496.js,0.2,0.157242726,0.183449846,0.094216833,0.472455591
25001.js,-1,-1,-1,-1,-1
2614.js,0.216506351,0.175881618,0.203925097,0.101518265,0.516397779
26541.js,-1,-1,-1,-1,-1
2656.js,0.327229576,0.342387035,0.339187086,0.202394026,0.635107349
27002.js,-1,-1,-1,-1,-1
27178.js,-1,-1,-1,-1,-1
27182.js,-1,-1,-1,-1,-1
