improve,nice,recover_nice,name,,,
0,0.052631579,0,40938.js,,,
0,0.052631579,0,40984.js,,,
0,0.052631579,0,41114.js,,,
0,0.052631579,0,41351.js,,,
0,0.052631579,0,41427.js,,,
0,0.052631579,0,41525.js,,,
0,0.046511628,0.0375,4165.js,,,
0,0.052631579,0,41703.js,,,
0,0.052631579,0,41746.js,,,
0,0.052631579,0,41759.js,,,
0,0.05,0,41785.js,,,
0,0.05,0,41931.js,,,
0,0.052631579,0,41949.js,,,
0,0.05,0,42393.js,,,
0,0.052631579,0,42462.js,,,
0,0.052631579,0,42466.js,,,
0,0.052631579,0,42622.js,,,
0,0.052631579,0,42641.js,,,
0,0.052631579,0,42720.js,,,
0,0.052631579,0,42722.js,,,
0,0.052631579,0,42892.js,,,
0,0.052631579,0,42984.js,,,
0,0.052631579,0,43082.js,,,
0,0.052631579,0,43405.js,,,
0,0.052631579,0,43492.js,,,
0,0.052631579,0,43566.js,,,
0,0.052631579,0,43851.js,,,
0,0.052631579,0,43891.js,,,
0,0.052631579,0,43898.js,,,
0,0.052631579,0,43931.js,,,
0,0.052631579,0,43981.js,,,
0,0.052631579,0,44079.js,,,
0,0.052631579,0,44114.js,,,
0,0.052631579,0,44122.js,,,
0,0.052631579,0,44139.js,,,
0,0.045454545,0,44169.js,,,
0,0.052631579,0,44293.js,,,
0,0.052631579,0,44333.js,,,
0,0.063492063,0.066666667,44354.js,,,
0,0.052631579,0,44431.js,,,
0,0.052631579,0,44471.js,,,
0,0.052631579,0,44473.js,,,
0,0.052631579,0,44518.js,,,
0,0.052631579,0,44553.js,,,
0,0.052631579,0,44575.js,,,
0,0.052631579,0,44576.js,,,
0,0.052631579,0,44624.js,,,
0,0.052631579,0,44685.js,,,
-1,-1,-1,448.js,,,
0,0.052631579,0,44963.js,,,
0,0.052631579,0,45063.js,,,
0,0.052631579,0,45101.js,,,
0,0.052631579,0,45107.js,,,
0,0.052631579,0,45154.js,,,
0,0.052631579,0,45220.js,,,
0,0.052631579,0,45243.js,,,
0,0.05,0,45324.js,,,
0,0.05,0,45333.js,,,
-1,-1,-1,45502.js,,,
-1,-1,-1,45730.js,,,
-1,-1,-1,45861.js,,,
-1,-1,-1,45919.js,,,
0,0.041666667,0.05,46.js,,,
-1,-1,-1,46063.js,,,
-1,-1,-1,46104.js,,,
-1,-1,-1,46111.js,,,
-1,-1,-1,46413.js,,,
0,0,0,46432.js,,,
0,0,0,4654.js,,,
-1,-1,-1,46572.js,,,
0,0.023809524,0.025641026,4676.js,,,
-1,-1,-1,46860.js,,,
-1,-1,-1,47010.js,,,
-1,-1,-1,47021.js,,,
-1,-1,-1,47113.js,,,
0,0.025,0,47154.js,,,
-1,-1,-1,47250.js,,,
0,0,0,47289.js,,,
-1,-1,-1,47526.js,,,
0,0,0,47656.js,,,
-1,-1,-1,48874.js,,,
-1,-1,-1,48940.js,,,
0,0,0,49340.js,,,
0,0,0,49662.js,,,
