FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
38786.js,1,0.28,0.368421053,0.368421053,,,
38807.js,1,0.269230769,0.35,0.35,,,
38815.js,1,0.28,0.368421053,0.368421053,,,
38823.js,1,0.28,0.368421053,0.368421053,,,
3884.js,1,0.066666667,0.5,0.5,,,
38872.js,1,0.28,0.583333333,0.368421053,,,
38970.js,1,0.28,0.368421053,0.583333333,,,
39025.js,1,0.28,0.583333333,0.368421053,,,
3924.js,1,0.166666667,0.6,0.6,,,
39278.js,1,0.25,0.318181818,0.318181818,,,
39287.js,0.627906977,0.150684932,0.164179104,0.192982456,,,
39463.js,1,0.28,0.368421053,0.368421053,,,
3949.js,1,0.066666667,0.5,0.5,,,
39563.js,1,0.28,0.583333333,0.583333333,,,
39575.js,1,0.28,0.368421053,0.368421053,,,
39641.js,1,0.269230769,0.35,0.538461538,,,
39657.js,1,0.28,0.368421053,0.583333333,,,
39685.js,1,0.28,0.583333333,0.368421053,,,
39689.js,1,0.269230769,0.35,0.35,,,
39795.js,1,0.28,0.368421053,0.583333333,,,
39835.js,1,0.28,0.368421053,0.368421053,,,
39845.js,1,0.28,0.583333333,0.583333333,,,
39953.js,1,0.28,0.368421053,0.368421053,,,
39987.js,1,0.28,0.368421053,0.368421053,,,
40095.js,1,0.28,0.583333333,0.583333333,,,
40133.js,1,0.24137931,0.304347826,0.304347826,,,
40172.js,1,0.28,0.368421053,0.583333333,,,
40283.js,1,0.28,0.583333333,0.583333333,,,
4041.js,0.655172414,0.026086957,0.029126214,0.036585366,,,
40486.js,1,0.28,0.368421053,0.368421053,,,
40512.js,1,0.269230769,0.35,0.35,,,
4075.js,0.679802956,0.012474012,0.012793177,0.016172507,,,
40938.js,1,0.28,0.368421053,0.583333333,,,
40984.js,1,0.28,0.583333333,0.368421053,,,
41114.js,1,0.28,0.583333333,0.368421053,,,
41351.js,1,0.28,0.583333333,0.368421053,,,
41427.js,1,0.28,0.368421053,0.368421053,,,
41525.js,1,0.28,0.368421053,0.368421053,,,
4165.js,0.768115942,0.009259259,0.010526316,0.010989011,,,
41703.js,1,0.28,0.368421053,0.368421053,,,
41746.js,1,0.28,0.368421053,0.368421053,,,
41759.js,1,0.28,0.583333333,0.368421053,,,
41785.js,1,0.269230769,0.35,0.35,,,
41931.js,1,0.269230769,0.35,0.35,,,
41949.js,1,0.28,0.368421053,0.583333333,,,
42393.js,1,0.269230769,0.35,0.35,,,
42462.js,1,0.28,0.583333333,0.583333333,,,
42466.js,1,0.28,0.368421053,0.368421053,,,
42622.js,1,0.28,0.368421053,0.368421053,,,
42641.js,1,0.28,0.583333333,0.368421053,,,
42720.js,1,0.28,0.368421053,0.368421053,,,
42722.js,1,0.28,0.583333333,0.368421053,,,
42892.js,1,0.28,0.368421053,0.368421053,,,
